date,how to delete twitter
2011-01-01,20
2011-02-01,18
2011-03-01,22
2011-04-01,24
2011-05-01,28
2011-06-01,31
2011-07-01,38
2011-08-01,35
2011-09-01,34
2011-10-01,41
2011-11-01,44
2011-12-01,48
2012-01-01,54
2012-02-01,51
2012-03-01,50
2012-04-01,59
2012-05-01,59
2012-06-01,71
2012-07-01,84
2012-08-01,79
2012-09-01,70
2012-10-01,67
2012-11-01,73
2012-12-01,83
2013-01-01,88
2013-02-01,79
2013-03-01,82
2013-04-01,76
2013-05-01,69
2013-06-01,75
2013-07-01,86
2013-08-01,82
2013-09-01,73
2013-10-01,67
2013-11-01,69
2013-12-01,78
2014-01-01,85
2014-02-01,81
2014-03-01,82
2014-04-01,77
2014-05-01,73
2014-06-01,77
2014-07-01,85
2014-08-01,85
2014-09-01,75
2014-10-01,75
2014-11-01,79
2014-12-01,83
2015-01-01,87
2015-02-01,84
2015-03-01,84
2015-04-01,88
2015-05-01,86
2015-06-01,89
2015-07-01,100
2015-08-01,98
2015-09-01,87
2015-10-01,74
2015-11-01,77
2015-12-01,84
2016-01-01,88
2016-02-01,78
2016-03-01,78
2016-04-01,74
2016-05-01,80
2016-06-01,91
2016-07-01,94
2016-08-01,85
2016-09-01,80
2016-10-01,76
2016-11-01,80
2016-12-01,79
2017-01-01,93
