date,encrypting emails,how to encrypt emails
2011-01-01,38,57
2011-02-01,60,60
2011-03-01,54,24
2011-04-01,58,38
2011-05-01,63,45
2011-06-01,50,37
2011-07-01,49,43
2011-08-01,52,44
2011-09-01,34,43
2011-10-01,73,59
2011-11-01,43,57
2011-12-01,24,48
2012-01-01,69,39
2012-02-01,41,25
2012-03-01,29,38
2012-04-01,40,100
2012-05-01,33,37
2012-06-01,43,43
2012-07-01,57,57
2012-08-01,33,28
2012-09-01,38,42
2012-10-01,25,30
2012-11-01,39,39
2012-12-01,45,34
2013-01-01,31,39
2013-02-01,47,45
2013-03-01,42,42
2013-04-01,55,51
2013-05-01,30,38
2013-06-01,55,55
2013-07-01,38,91
2013-08-01,34,76
2013-09-01,41,64
2013-10-01,35,35
2013-11-01,36,43
2013-12-01,40,49
2014-01-01,27,47
2014-02-01,44,41
2014-03-01,59,56
2014-04-01,41,48
2014-05-01,45,80
2014-06-01,38,61
2014-07-01,34,56
2014-08-01,26,33
2014-09-01,36,50
2014-10-01,31,58
2014-11-01,24,63
2014-12-01,17,41
2015-01-01,36,44
2015-02-01,26,45
2015-03-01,28,54
2015-04-01,49,58
2015-05-01,75,50
2015-06-01,32,68
2015-07-01,44,51
2015-08-01,31,53
2015-09-01,23,68
2015-10-01,32,50
2015-11-01,57,48
2015-12-01,36,73
2016-01-01,61,72
2016-02-01,46,71
2016-03-01,48,85
2016-04-01,44,83
2016-05-01,16,83
2016-06-01,58,36
2016-07-01,38,59
2016-08-01,33,49
2016-09-01,49,54
2016-10-01,31,82
2016-11-01,49,89
2016-12-01,28,57
2017-01-01,54,78
