date,Search in secret,best anonymous browser
2011-01-01,100,10
2011-02-01,92,12
2011-03-01,94,6
2011-04-01,86,18
2011-05-01,86,10
2011-06-01,82,10
2011-07-01,91,10
2011-08-01,79,5
2011-09-01,72,20
2011-10-01,79,10
2011-11-01,82,6
2011-12-01,90,4
2012-01-01,94,18
2012-02-01,74,12
2012-03-01,72,13
2012-04-01,73,6
2012-05-01,60,7
2012-06-01,71,7
2012-07-01,77,9
2012-08-01,77,9
2012-09-01,64,7
2012-10-01,76,10
2012-11-01,66,11
2012-12-01,72,14
2013-01-01,66,12
2013-02-01,69,10
2013-03-01,65,12
2013-04-01,66,16
2013-05-01,62,15
2013-06-01,75,14
2013-07-01,60,13
2013-08-01,62,14
2013-09-01,71,16
2013-10-01,61,13
2013-11-01,82,15
2013-12-01,75,10
2014-01-01,80,17
2014-02-01,66,12
2014-03-01,77,13
2014-04-01,80,16
2014-05-01,80,11
2014-06-01,69,8
2014-07-01,62,10
2014-08-01,78,14
2014-09-01,74,14
2014-10-01,73,14
2014-11-01,72,13
2014-12-01,85,15
2015-01-01,76,22
2015-02-01,76,8
2015-03-01,81,16
2015-04-01,80,14
2015-05-01,69,13
2015-06-01,67,15
2015-07-01,71,19
2015-08-01,74,21
2015-09-01,65,15
2015-10-01,72,16
2015-11-01,92,16
2015-12-01,71,19
2016-01-01,75,18
2016-02-01,64,15
2016-03-01,71,18
2016-04-01,65,19
2016-05-01,69,18
2016-06-01,68,18
2016-07-01,79,16
2016-08-01,69,15
2016-09-01,74,18
2016-10-01,64,14
2016-11-01,61,12
2016-12-01,67,13
2017-01-01,69,19
