date,search anonymously,most private browser
2011-01-01,40,17
2011-02-01,62,23
2011-03-01,28,12
2011-04-01,35,10
2011-05-01,47,18
2011-06-01,31,14
2011-07-01,46,11
2011-08-01,32,7
2011-09-01,57,11
2011-10-01,46,19
2011-11-01,34,6
2011-12-01,54,19
2012-01-01,76,25
2012-02-01,61,24
2012-03-01,35,28
2012-04-01,33,12
2012-05-01,43,9
2012-06-01,54,7
2012-07-01,74,11
2012-08-01,42,24
2012-09-01,33,15
2012-10-01,59,13
2012-11-01,57,8
2012-12-01,52,25
2013-01-01,44,11
2013-02-01,52,22
2013-03-01,52,13
2013-04-01,59,20
2013-05-01,44,13
2013-06-01,58,26
2013-07-01,76,16
2013-08-01,89,27
2013-09-01,70,20
2013-10-01,82,19
2013-11-01,70,15
2013-12-01,64,17
2014-01-01,73,9
2014-02-01,72,16
2014-03-01,78,18
2014-04-01,84,12
2014-05-01,67,28
2014-06-01,56,18
2014-07-01,72,19
2014-08-01,84,22
2014-09-01,100,33
2014-10-01,71,26
2014-11-01,94,15
2014-12-01,88,24
2015-01-01,83,21
2015-02-01,85,19
2015-03-01,72,26
2015-04-01,65,29
2015-05-01,66,13
2015-06-01,71,19
2015-07-01,80,23
2015-08-01,86,30
2015-09-01,71,19
2015-10-01,79,28
2015-11-01,66,27
2015-12-01,71,26
2016-01-01,82,29
2016-02-01,61,17
2016-03-01,81,28
2016-04-01,74,20
2016-05-01,68,31
2016-06-01,91,22
2016-07-01,74,24
2016-08-01,61,23
2016-09-01,82,31
2016-10-01,76,25
2016-11-01,70,24
2016-12-01,71,21
2017-01-01,78,38
