date,facebook privacy settings,Facebook privacy policy
2011-01-01,45,6
2011-02-01,36,6
2011-03-01,37,8
2011-04-01,33,9
2011-05-01,38,8
2011-06-01,45,6
2011-07-01,38,8
2011-08-01,53,8
2011-09-01,89,6
2011-10-01,63,6
2011-11-01,55,7
2011-12-01,55,5
2012-01-01,57,8
2012-02-01,54,11
2012-03-01,44,11
2012-04-01,51,10
2012-05-01,46,8
2012-06-01,48,11
2012-07-01,44,9
2012-08-01,60,6
2012-09-01,83,6
2012-10-01,73,10
2012-11-01,66,16
2012-12-01,68,14
2013-01-01,64,8
2013-02-01,64,10
2013-03-01,75,9
2013-04-01,50,8
2013-05-01,49,6
2013-06-01,48,6
2013-07-01,58,6
2013-08-01,47,5
2013-09-01,48,9
2013-10-01,68,28
2013-11-01,41,7
2013-12-01,37,6
2014-01-01,36,5
2014-02-01,34,7
2014-03-01,32,6
2014-04-01,32,6
2014-05-01,35,8
2014-06-01,33,7
2014-07-01,31,6
2014-08-01,38,11
2014-09-01,34,9
2014-10-01,31,9
2014-11-01,30,12
2014-12-01,34,15
2015-01-01,38,100
2015-02-01,27,10
2015-03-01,29,8
2015-04-01,27,7
2015-05-01,29,6
2015-06-01,27,6
2015-07-01,29,6
2015-08-01,29,6
2015-09-01,44,99
2015-10-01,27,13
2015-11-01,26,6
2015-12-01,23,5
2016-01-01,23,6
2016-02-01,23,7
2016-03-01,21,6
2016-04-01,22,6
2016-05-01,22,6
2016-06-01,30,41
2016-07-01,26,44
2016-08-01,22,8
2016-09-01,25,8
2016-10-01,25,53
2016-11-01,21,7
2016-12-01,21,7
2017-01-01,23,9
