date,privacy youtube,privacy policy youtube
2011-01-01,53,2
2011-02-01,57,3
2011-03-01,66,1
2011-04-01,54,3
2011-05-01,51,3
2011-06-01,56,3
2011-07-01,51,3
2011-08-01,50,2
2011-09-01,76,2
2011-10-01,75,3
2011-11-01,72,3
2011-12-01,81,1
2012-01-01,96,12
2012-02-01,100,17
2012-03-01,94,11
2012-04-01,76,5
2012-05-01,45,3
2012-06-01,56,2
2012-07-01,66,2
2012-08-01,67,3
2012-09-01,63,2
2012-10-01,72,4
2012-11-01,77,3
2012-12-01,77,2
2013-01-01,71,3
2013-02-01,72,2
2013-03-01,70,3
2013-04-01,67,2
2013-05-01,60,2
2013-06-01,49,3
2013-07-01,46,3
2013-08-01,51,4
2013-09-01,58,3
2013-10-01,65,4
2013-11-01,67,4
2013-12-01,59,3
2014-01-01,59,4
2014-02-01,67,3
2014-03-01,63,3
2014-04-01,65,2
2014-05-01,64,3
2014-06-01,52,2
2014-07-01,53,3
2014-08-01,58,5
2014-09-01,64,4
2014-10-01,62,3
2014-11-01,62,3
2014-12-01,58,3
2015-01-01,70,4
2015-02-01,64,3
2015-03-01,69,3
2015-04-01,63,3
2015-05-01,71,4
2015-06-01,59,4
2015-07-01,57,3
2015-08-01,66,5
2015-09-01,67,5
2015-10-01,67,4
2015-11-01,72,5
2015-12-01,67,4
2016-01-01,67,4
2016-02-01,65,5
2016-03-01,72,6
2016-04-01,74,5
2016-05-01,67,5
2016-06-01,67,5
2016-07-01,55,5
2016-08-01,63,3
2016-09-01,69,6
2016-10-01,72,4
2016-11-01,57,4
2016-12-01,63,4
2017-01-01,67,5
