date,How do I unfollow someone on Twitter,how to unfollow on twitter
2011-01-01,4,23
2011-02-01,3,31
2011-03-01,2,52
2011-04-01,2,55
2011-05-01,0,47
2011-06-01,4,44
2011-07-01,4,71
2011-08-01,4,69
2011-09-01,0,53
2011-10-01,2,48
2011-11-01,2,68
2011-12-01,2,84
2012-01-01,6,88
2012-02-01,4,79
2012-03-01,1,57
2012-04-01,4,65
2012-05-01,4,82
2012-06-01,3,91
2012-07-01,3,100
2012-08-01,3,99
2012-09-01,4,83
2012-10-01,3,81
2012-11-01,4,93
2012-12-01,3,64
2013-01-01,4,99
2013-02-01,4,78
2013-03-01,5,70
2013-04-01,3,63
2013-05-01,3,70
2013-06-01,5,72
2013-07-01,4,81
2013-08-01,4,76
2013-09-01,3,62
2013-10-01,1,72
2013-11-01,3,55
2013-12-01,5,60
2014-01-01,5,77
2014-02-01,2,77
2014-03-01,4,67
2014-04-01,3,63
2014-05-01,8,71
2014-06-01,3,77
2014-07-01,2,72
2014-08-01,2,74
2014-09-01,4,66
2014-10-01,4,54
2014-11-01,4,70
2014-12-01,3,57
2015-01-01,5,65
2015-02-01,4,59
2015-03-01,4,69
2015-04-01,1,64
2015-05-01,3,61
2015-06-01,1,64
2015-07-01,4,63
2015-08-01,3,61
2015-09-01,3,58
2015-10-01,3,49
2015-11-01,4,56
2015-12-01,1,57
2016-01-01,3,63
2016-02-01,2,54
2016-03-01,3,48
2016-04-01,3,54
2016-05-01,3,52
2016-06-01,4,65
2016-07-01,3,78
2016-08-01,2,61
2016-09-01,4,47
2016-10-01,1,53
2016-11-01,1,61
2016-12-01,2,56
2017-01-01,4,65
