date,Private search engines,search without history
2011-01-01,59,50
2011-02-01,49,31
2011-03-01,44,42
2011-04-01,34,41
2011-05-01,48,40
2011-06-01,68,23
2011-07-01,51,57
2011-08-01,60,38
2011-09-01,60,45
2011-10-01,60,37
2011-11-01,52,45
2011-12-01,56,40
2012-01-01,71,42
2012-02-01,72,47
2012-03-01,84,52
2012-04-01,53,36
2012-05-01,43,46
2012-06-01,56,46
2012-07-01,49,51
2012-08-01,58,53
2012-09-01,61,53
2012-10-01,42,63
2012-11-01,33,44
2012-12-01,46,38
2013-01-01,36,53
2013-02-01,59,60
2013-03-01,49,59
2013-04-01,41,57
2013-05-01,35,38
2013-06-01,80,73
2013-07-01,86,76
2013-08-01,54,77
2013-09-01,62,69
2013-10-01,54,50
2013-11-01,61,67
2013-12-01,72,61
2014-01-01,55,71
2014-02-01,68,70
2014-03-01,70,54
2014-04-01,54,53
2014-05-01,43,60
2014-06-01,55,52
2014-07-01,61,83
2014-08-01,56,58
2014-09-01,56,75
2014-10-01,44,97
2014-11-01,60,56
2014-12-01,44,72
2015-01-01,43,83
2015-02-01,38,60
2015-03-01,40,70
2015-04-01,55,72
2015-05-01,34,78
2015-06-01,42,74
2015-07-01,45,80
2015-08-01,39,80
2015-09-01,43,96
2015-10-01,37,71
2015-11-01,47,74
2015-12-01,55,92
2016-01-01,43,84
2016-02-01,37,88
2016-03-01,43,82
2016-04-01,35,100
2016-05-01,37,76
2016-06-01,34,87
2016-07-01,29,87
2016-08-01,39,88
2016-09-01,39,78
2016-10-01,39,79
2016-11-01,47,85
2016-12-01,47,74
2017-01-01,42,95
