date,incognito mode safari
2011-01-01,6
2011-02-01,6
2011-03-01,18
2011-04-01,15
2011-05-01,13
2011-06-01,11
2011-07-01,19
2011-08-01,10
2011-09-01,12
2011-10-01,10
2011-11-01,15
2011-12-01,11
2012-01-01,25
2012-02-01,8
2012-03-01,9
2012-04-01,12
2012-05-01,15
2012-06-01,15
2012-07-01,22
2012-08-01,71
2012-09-01,59
2012-10-01,62
2012-11-01,47
2012-12-01,51
2013-01-01,34
2013-02-01,39
2013-03-01,46
2013-04-01,46
2013-05-01,51
2013-06-01,66
2013-07-01,80
2013-08-01,80
2013-09-01,57
2013-10-01,54
2013-11-01,60
2013-12-01,81
2014-01-01,59
2014-02-01,64
2014-03-01,62
2014-04-01,70
2014-05-01,52
2014-06-01,58
2014-07-01,79
2014-08-01,84
2014-09-01,87
2014-10-01,100
2014-11-01,81
2014-12-01,83
2015-01-01,65
2015-02-01,74
2015-03-01,66
2015-04-01,67
2015-05-01,82
2015-06-01,59
2015-07-01,73
2015-08-01,73
2015-09-01,72
2015-10-01,82
2015-11-01,74
2015-12-01,81
2016-01-01,62
2016-02-01,63
2016-03-01,68
2016-04-01,91
2016-05-01,79
2016-06-01,71
2016-07-01,73
2016-08-01,67
2016-09-01,82
2016-10-01,88
2016-11-01,77
2016-12-01,69
2017-01-01,63
