date,facebook logout button missing
2011-01-01,0
2011-02-01,0
2011-03-01,29
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,27
2011-10-01,26
2011-11-01,38
2011-12-01,51
2012-01-01,23
2012-02-01,23
2012-03-01,23
2012-04-01,24
2012-05-01,22
2012-06-01,23
2012-07-01,23
2012-08-01,91
2012-09-01,34
2012-10-01,82
2012-11-01,21
2012-12-01,39
2013-01-01,57
2013-02-01,21
2013-03-01,19
2013-04-01,19
2013-05-01,18
2013-06-01,18
2013-07-01,18
2013-08-01,18
2013-09-01,18
2013-10-01,17
2013-11-01,17
2013-12-01,25
2014-01-01,32
2014-02-01,18
2014-03-01,25
2014-04-01,32
2014-05-01,40
2014-06-01,47
2014-07-01,54
2014-08-01,18
2014-09-01,17
2014-10-01,17
2014-11-01,17
2014-12-01,17
2015-01-01,31
2015-02-01,50
2015-03-01,15
2015-04-01,24
2015-05-01,31
2015-06-01,31
2015-07-01,46
2015-08-01,23
2015-09-01,75
2015-10-01,70
2015-11-01,29
2015-12-01,29
2016-01-01,35
2016-02-01,28
2016-03-01,39
2016-04-01,27
2016-05-01,13
2016-06-01,27
2016-07-01,27
2016-08-01,26
2016-09-01,26
2016-10-01,75
2016-11-01,100
2016-12-01,88
2017-01-01,24
