date,facebook search friends by phone number
2011-01-01,24
2011-02-01,26
2011-03-01,19
2011-04-01,12
2011-05-01,17
2011-06-01,24
2011-07-01,24
2011-08-01,18
2011-09-01,32
2011-10-01,44
2011-11-01,24
2011-12-01,60
2012-01-01,34
2012-02-01,19
2012-03-01,18
2012-04-01,16
2012-05-01,42
2012-06-01,18
2012-07-01,30
2012-08-01,30
2012-09-01,33
2012-10-01,27
2012-11-01,14
2012-12-01,14
2013-01-01,22
2013-02-01,27
2013-03-01,17
2013-04-01,42
2013-05-01,58
2013-06-01,40
2013-07-01,37
2013-08-01,27
2013-09-01,24
2013-10-01,49
2013-11-01,32
2013-12-01,42
2014-01-01,26
2014-02-01,44
2014-03-01,29
2014-04-01,48
2014-05-01,35
2014-06-01,49
2014-07-01,50
2014-08-01,36
2014-09-01,55
2014-10-01,32
2014-11-01,24
2014-12-01,39
2015-01-01,33
2015-02-01,50
2015-03-01,54
2015-04-01,34
2015-05-01,28
2015-06-01,33
2015-07-01,28
2015-08-01,48
2015-09-01,100
2015-10-01,20
2015-11-01,29
2015-12-01,25
2016-01-01,38
2016-02-01,31
2016-03-01,19
2016-04-01,28
2016-05-01,32
2016-06-01,42
2016-07-01,30
2016-08-01,28
2016-09-01,29
2016-10-01,52
2016-11-01,67
2016-12-01,69
2017-01-01,37
