date,facebook search login
2011-01-01,85
2011-02-01,77
2011-03-01,61
2011-04-01,61
2011-05-01,51
2011-06-01,55
2011-07-01,62
2011-08-01,72
2011-09-01,100
2011-10-01,68
2011-11-01,24
2011-12-01,50
2012-01-01,61
2012-02-01,59
2012-03-01,42
2012-04-01,30
2012-05-01,35
2012-06-01,43
2012-07-01,41
2012-08-01,23
2012-09-01,27
2012-10-01,38
2012-11-01,31
2012-12-01,26
2013-01-01,21
2013-02-01,30
2013-03-01,37
2013-04-01,35
2013-05-01,21
2013-06-01,21
2013-07-01,30
2013-08-01,34
2013-09-01,30
2013-10-01,33
2013-11-01,43
2013-12-01,38
2014-01-01,36
2014-02-01,36
2014-03-01,36
2014-04-01,37
2014-05-01,33
2014-06-01,29
2014-07-01,24
2014-08-01,19
2014-09-01,22
2014-10-01,15
2014-11-01,15
2014-12-01,19
2015-01-01,18
2015-02-01,30
2015-03-01,42
2015-04-01,46
2015-05-01,42
2015-06-01,46
2015-07-01,56
2015-08-01,55
2015-09-01,60
2015-10-01,59
2015-11-01,57
2015-12-01,61
2016-01-01,60
2016-02-01,53
2016-03-01,53
2016-04-01,52
2016-05-01,54
2016-06-01,40
2016-07-01,42
2016-08-01,41
2016-09-01,48
2016-10-01,26
2016-11-01,35
2016-12-01,47
2017-01-01,43
