date,deleting someone on snapchat
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,0
2012-06-01,0
2012-07-01,0
2012-08-01,0
2012-09-01,0
2012-10-01,0
2012-11-01,0
2012-12-01,9
2013-01-01,8
2013-02-01,8
2013-03-01,8
2013-04-01,12
2013-05-01,12
2013-06-01,19
2013-07-01,24
2013-08-01,12
2013-09-01,23
2013-10-01,26
2013-11-01,27
2013-12-01,33
2014-01-01,44
2014-02-01,36
2014-03-01,43
2014-04-01,38
2014-05-01,72
2014-06-01,50
2014-07-01,65
2014-08-01,75
2014-09-01,55
2014-10-01,61
2014-11-01,68
2014-12-01,79
2015-01-01,98
2015-02-01,46
2015-03-01,37
2015-04-01,40
2015-05-01,48
2015-06-01,38
2015-07-01,79
2015-08-01,57
2015-09-01,66
2015-10-01,57
2015-11-01,78
2015-12-01,55
2016-01-01,77
2016-02-01,61
2016-03-01,59
2016-04-01,71
2016-05-01,74
2016-06-01,88
2016-07-01,77
2016-08-01,59
2016-09-01,100
2016-10-01,80
2016-11-01,81
2016-12-01,72
2017-01-01,100
