date,cachedview
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,14
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,0
2012-06-01,0
2012-07-01,0
2012-08-01,0
2012-09-01,0
2012-10-01,0
2012-11-01,0
2012-12-01,0
2013-01-01,0
2013-02-01,0
2013-03-01,0
2013-04-01,0
2013-05-01,0
2013-06-01,0
2013-07-01,0
2013-08-01,0
2013-09-01,0
2013-10-01,0
2013-11-01,0
2013-12-01,0
2014-01-01,0
2014-02-01,0
2014-03-01,0
2014-04-01,0
2014-05-01,0
2014-06-01,0
2014-07-01,0
2014-08-01,0
2014-09-01,0
2014-10-01,0
2014-11-01,0
2014-12-01,0
2015-01-01,13
2015-02-01,18
2015-03-01,9
2015-04-01,13
2015-05-01,8
2015-06-01,30
2015-07-01,17
2015-08-01,21
2015-09-01,25
2015-10-01,39
2015-11-01,36
2015-12-01,28
2016-01-01,46
2016-02-01,23
2016-03-01,32
2016-04-01,66
2016-05-01,65
2016-06-01,33
2016-07-01,34
2016-08-01,84
2016-09-01,69
2016-10-01,79
2016-11-01,69
2016-12-01,100
2017-01-01,88
