date,how to delete facebook account permanently
2011-01-01,38
2011-02-01,27
2011-03-01,30
2011-04-01,37
2011-05-01,42
2011-06-01,37
2011-07-01,42
2011-08-01,51
2011-09-01,45
2011-10-01,46
2011-11-01,37
2011-12-01,47
2012-01-01,52
2012-02-01,55
2012-03-01,58
2012-04-01,58
2012-05-01,60
2012-06-01,54
2012-07-01,52
2012-08-01,52
2012-09-01,48
2012-10-01,43
2012-11-01,40
2012-12-01,44
2013-01-01,42
2013-02-01,41
2013-03-01,45
2013-04-01,43
2013-05-01,47
2013-06-01,44
2013-07-01,44
2013-08-01,44
2013-09-01,59
2013-10-01,50
2013-11-01,34
2013-12-01,38
2014-01-01,49
2014-02-01,60
2014-03-01,44
2014-04-01,37
2014-05-01,43
2014-06-01,57
2014-07-01,56
2014-08-01,50
2014-09-01,42
2014-10-01,37
2014-11-01,39
2014-12-01,36
2015-01-01,41
2015-02-01,39
2015-03-01,39
2015-04-01,48
2015-05-01,57
2015-06-01,46
2015-07-01,41
2015-08-01,51
2015-09-01,58
2015-10-01,41
2015-11-01,34
2015-12-01,36
2016-01-01,46
2016-02-01,54
2016-03-01,52
2016-04-01,42
2016-05-01,37
2016-06-01,42
2016-07-01,58
2016-08-01,75
2016-09-01,53
2016-10-01,44
2016-11-01,54
2016-12-01,100
2017-01-01,95
