date,how to delete fb account immediately
2011-01-01,0
2011-02-01,52
2011-03-01,23
2011-04-01,23
2011-05-01,23
2011-06-01,24
2011-07-01,22
2011-08-01,22
2011-09-01,22
2011-10-01,21
2011-11-01,42
2011-12-01,28
2012-01-01,28
2012-02-01,20
2012-03-01,20
2012-04-01,20
2012-05-01,18
2012-06-01,18
2012-07-01,18
2012-08-01,18
2012-09-01,18
2012-10-01,17
2012-11-01,17
2012-12-01,17
2013-01-01,17
2013-02-01,17
2013-03-01,18
2013-04-01,20
2013-05-01,21
2013-06-01,23
2013-07-01,29
2013-08-01,29
2013-09-01,29
2013-10-01,27
2013-11-01,14
2013-12-01,14
2014-01-01,20
2014-02-01,21
2014-03-01,25
2014-04-01,26
2014-05-01,13
2014-06-01,30
2014-07-01,36
2014-08-01,14
2014-09-01,28
2014-10-01,20
2014-11-01,14
2014-12-01,13
2015-01-01,19
2015-02-01,20
2015-03-01,43
2015-04-01,50
2015-05-01,43
2015-06-01,50
2015-07-01,25
2015-08-01,49
2015-09-01,30
2015-10-01,34
2015-11-01,29
2015-12-01,35
2016-01-01,44
2016-02-01,39
2016-03-01,72
2016-04-01,59
2016-05-01,21
2016-06-01,43
2016-07-01,49
2016-08-01,26
2016-09-01,47
2016-10-01,15
2016-11-01,20
2016-12-01,50
2017-01-01,100
