date,sign out of all google sessions
2011-01-01,0
2011-02-01,0
2011-03-01,23
2011-04-01,23
2011-05-01,24
2011-06-01,24
2011-07-01,23
2011-08-01,22
2011-09-01,22
2011-10-01,20
2011-11-01,20
2011-12-01,20
2012-01-01,56
2012-02-01,20
2012-03-01,37
2012-04-01,32
2012-05-01,18
2012-06-01,37
2012-07-01,24
2012-08-01,18
2012-09-01,27
2012-10-01,33
2012-11-01,17
2012-12-01,17
2013-01-01,30
2013-02-01,50
2013-03-01,29
2013-04-01,52
2013-05-01,39
2013-06-01,40
2013-07-01,58
2013-08-01,36
2013-09-01,33
2013-10-01,59
2013-11-01,32
2013-12-01,32
2014-01-01,26
2014-02-01,52
2014-03-01,63
2014-04-01,79
2014-05-01,27
2014-06-01,59
2014-07-01,43
2014-08-01,48
2014-09-01,48
2014-10-01,100
2014-11-01,71
2014-12-01,75
2015-01-01,54
2015-02-01,35
2015-03-01,73
2015-04-01,95
2015-05-01,64
2015-06-01,61
2015-07-01,53
2015-08-01,68
2015-09-01,71
2015-10-01,82
2015-11-01,42
2015-12-01,62
2016-01-01,55
2016-02-01,47
2016-03-01,61
2016-04-01,49
2016-05-01,27
2016-06-01,85
2016-07-01,61
2016-08-01,42
2016-09-01,62
2016-10-01,49
2016-11-01,33
2016-12-01,36
2017-01-01,47
