date,sign out of google on all devices
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,11
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,0
2012-06-01,0
2012-07-01,0
2012-08-01,0
2012-09-01,0
2012-10-01,0
2012-11-01,9
2012-12-01,9
2013-01-01,8
2013-02-01,9
2013-03-01,8
2013-04-01,11
2013-05-01,8
2013-06-01,8
2013-07-01,7
2013-08-01,18
2013-09-01,10
2013-10-01,7
2013-11-01,11
2013-12-01,17
2014-01-01,16
2014-02-01,22
2014-03-01,24
2014-04-01,14
2014-05-01,27
2014-06-01,19
2014-07-01,22
2014-08-01,27
2014-09-01,19
2014-10-01,36
2014-11-01,44
2014-12-01,34
2015-01-01,32
2015-02-01,37
2015-03-01,40
2015-04-01,68
2015-05-01,54
2015-06-01,51
2015-07-01,59
2015-08-01,66
2015-09-01,61
2015-10-01,46
2015-11-01,43
2015-12-01,44
2016-01-01,68
2016-02-01,83
2016-03-01,56
2016-04-01,64
2016-05-01,80
2016-06-01,66
2016-07-01,88
2016-08-01,65
2016-09-01,91
2016-10-01,83
2016-11-01,92
2016-12-01,77
2017-01-01,100
