date,instagram widget for blogger
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,16
2011-07-01,16
2011-08-01,15
2011-09-01,29
2011-10-01,14
2011-11-01,14
2011-12-01,14
2012-01-01,13
2012-02-01,27
2012-03-01,13
2012-04-01,52
2012-05-01,55
2012-06-01,38
2012-07-01,25
2012-08-01,49
2012-09-01,31
2012-10-01,45
2012-11-01,39
2012-12-01,34
2013-01-01,56
2013-02-01,79
2013-03-01,65
2013-04-01,61
2013-05-01,79
2013-06-01,72
2013-07-01,90
2013-08-01,60
2013-09-01,83
2013-10-01,74
2013-11-01,61
2013-12-01,66
2014-01-01,79
2014-02-01,87
2014-03-01,73
2014-04-01,90
2014-05-01,100
2014-06-01,55
2014-07-01,73
2014-08-01,73
2014-09-01,47
2014-10-01,58
2014-11-01,73
2014-12-01,54
2015-01-01,51
2015-02-01,50
2015-03-01,71
2015-04-01,59
2015-05-01,45
2015-06-01,50
2015-07-01,42
2015-08-01,66
2015-09-01,57
2015-10-01,23
2015-11-01,62
2015-12-01,16
2016-01-01,63
2016-02-01,49
2016-03-01,28
2016-04-01,69
2016-05-01,42
2016-06-01,76
2016-07-01,66
2016-08-01,64
2016-09-01,60
2016-10-01,27
2016-11-01,47
2016-12-01,37
2017-01-01,58
