date,twitter advanced search mobile
2011-01-01,0
2011-02-01,0
2011-03-01,21
2011-04-01,21
2011-05-01,21
2011-06-01,21
2011-07-01,21
2011-08-01,18
2011-09-01,18
2011-10-01,18
2011-11-01,19
2011-12-01,17
2012-01-01,17
2012-02-01,17
2012-03-01,17
2012-04-01,17
2012-05-01,16
2012-06-01,16
2012-07-01,16
2012-08-01,20
2012-09-01,24
2012-10-01,13
2012-11-01,13
2012-12-01,13
2013-01-01,13
2013-02-01,13
2013-03-01,13
2013-04-01,13
2013-05-01,13
2013-06-01,14
2013-07-01,18
2013-08-01,13
2013-09-01,13
2013-10-01,12
2013-11-01,12
2013-12-01,19
2014-01-01,12
2014-02-01,19
2014-03-01,11
2014-04-01,20
2014-05-01,18
2014-06-01,13
2014-07-01,13
2014-08-01,13
2014-09-01,18
2014-10-01,12
2014-11-01,30
2014-12-01,24
2015-01-01,26
2015-02-01,36
2015-03-01,18
2015-04-01,22
2015-05-01,36
2015-06-01,26
2015-07-01,29
2015-08-01,16
2015-09-01,35
2015-10-01,40
2015-11-01,41
2015-12-01,49
2016-01-01,39
2016-02-01,36
2016-03-01,32
2016-04-01,35
2016-05-01,31
2016-06-01,32
2016-07-01,35
2016-08-01,41
2016-09-01,75
2016-10-01,100
2016-11-01,86
2016-12-01,74
2017-01-01,53
