date,twitter create account mobile
2011-01-01,54
2011-02-01,16
2011-03-01,15
2011-04-01,39
2011-05-01,22
2011-06-01,38
2011-07-01,15
2011-08-01,14
2011-09-01,48
2011-10-01,32
2011-11-01,26
2011-12-01,13
2012-01-01,35
2012-02-01,12
2012-03-01,35
2012-04-01,55
2012-05-01,34
2012-06-01,35
2012-07-01,17
2012-08-01,34
2012-09-01,17
2012-10-01,16
2012-11-01,31
2012-12-01,21
2013-01-01,9
2013-02-01,36
2013-03-01,14
2013-04-01,23
2013-05-01,32
2013-06-01,38
2013-07-01,28
2013-08-01,41
2013-09-01,32
2013-10-01,30
2013-11-01,43
2013-12-01,48
2014-01-01,64
2014-02-01,45
2014-03-01,24
2014-04-01,37
2014-05-01,29
2014-06-01,37
2014-07-01,41
2014-08-01,59
2014-09-01,48
2014-10-01,37
2014-11-01,25
2014-12-01,33
2015-01-01,39
2015-02-01,67
2015-03-01,38
2015-04-01,51
2015-05-01,34
2015-06-01,43
2015-07-01,43
2015-08-01,38
2015-09-01,49
2015-10-01,63
2015-11-01,25
2015-12-01,29
2016-01-01,34
2016-02-01,38
2016-03-01,48
2016-04-01,54
2016-05-01,42
2016-06-01,34
2016-07-01,41
2016-08-01,46
2016-09-01,82
2016-10-01,81
2016-11-01,78
2016-12-01,63
2017-01-01,100
