date,decrypt message
2011-01-01,41
2011-02-01,52
2011-03-01,59
2011-04-01,52
2011-05-01,31
2011-06-01,32
2011-07-01,44
2011-08-01,49
2011-09-01,47
2011-10-01,50
2011-11-01,42
2011-12-01,36
2012-01-01,39
2012-02-01,55
2012-03-01,58
2012-04-01,65
2012-05-01,48
2012-06-01,61
2012-07-01,44
2012-08-01,54
2012-09-01,37
2012-10-01,50
2012-11-01,55
2012-12-01,48
2013-01-01,45
2013-02-01,39
2013-03-01,43
2013-04-01,59
2013-05-01,64
2013-06-01,78
2013-07-01,49
2013-08-01,44
2013-09-01,54
2013-10-01,65
2013-11-01,63
2013-12-01,61
2014-01-01,63
2014-02-01,78
2014-03-01,75
2014-04-01,58
2014-05-01,56
2014-06-01,66
2014-07-01,68
2014-08-01,67
2014-09-01,84
2014-10-01,84
2014-11-01,81
2014-12-01,60
2015-01-01,61
2015-02-01,80
2015-03-01,81
2015-04-01,89
2015-05-01,63
2015-06-01,72
2015-07-01,66
2015-08-01,68
2015-09-01,94
2015-10-01,85
2015-11-01,92
2015-12-01,75
2016-01-01,66
2016-02-01,63
2016-03-01,89
2016-04-01,96
2016-05-01,96
2016-06-01,67
2016-07-01,72
2016-08-01,82
2016-09-01,95
2016-10-01,98
2016-11-01,100
2016-12-01,76
2017-01-01,87
