date,des encryption
2011-01-01,72
2011-02-01,84
2011-03-01,100
2011-04-01,78
2011-05-01,87
2011-06-01,77
2011-07-01,73
2011-08-01,68
2011-09-01,74
2011-10-01,85
2011-11-01,91
2011-12-01,64
2012-01-01,71
2012-02-01,91
2012-03-01,94
2012-04-01,83
2012-05-01,68
2012-06-01,65
2012-07-01,64
2012-08-01,56
2012-09-01,64
2012-10-01,73
2012-11-01,73
2012-12-01,53
2013-01-01,64
2013-02-01,71
2013-03-01,62
2013-04-01,80
2013-05-01,62
2013-06-01,53
2013-07-01,71
2013-08-01,47
2013-09-01,60
2013-10-01,64
2013-11-01,66
2013-12-01,59
2014-01-01,58
2014-02-01,68
2014-03-01,70
2014-04-01,65
2014-05-01,49
2014-06-01,53
2014-07-01,48
2014-08-01,51
2014-09-01,63
2014-10-01,60
2014-11-01,69
2014-12-01,53
2015-01-01,55
2015-02-01,65
2015-03-01,65
2015-04-01,60
2015-05-01,54
2015-06-01,50
2015-07-01,44
2015-08-01,50
2015-09-01,52
2015-10-01,61
2015-11-01,48
2015-12-01,53
2016-01-01,49
2016-02-01,59
2016-03-01,64
2016-04-01,59
2016-05-01,49
2016-06-01,39
2016-07-01,40
2016-08-01,45
2016-09-01,56
2016-10-01,56
2016-11-01,58
2016-12-01,39
2017-01-01,44
