date,virtual audio cable alternative
2011-01-01,36
2011-02-01,38
2011-03-01,39
2011-04-01,49
2011-05-01,49
2011-06-01,77
2011-07-01,31
2011-08-01,36
2011-09-01,46
2011-10-01,43
2011-11-01,47
2011-12-01,63
2012-01-01,46
2012-02-01,57
2012-03-01,69
2012-04-01,66
2012-05-01,43
2012-06-01,48
2012-07-01,51
2012-08-01,65
2012-09-01,55
2012-10-01,45
2012-11-01,56
2012-12-01,48
2013-01-01,44
2013-02-01,51
2013-03-01,52
2013-04-01,27
2013-05-01,47
2013-06-01,51
2013-07-01,36
2013-08-01,45
2013-09-01,58
2013-10-01,64
2013-11-01,67
2013-12-01,65
2014-01-01,40
2014-02-01,55
2014-03-01,65
2014-04-01,63
2014-05-01,47
2014-06-01,43
2014-07-01,53
2014-08-01,51
2014-09-01,38
2014-10-01,36
2014-11-01,59
2014-12-01,64
2015-01-01,100
2015-02-01,63
2015-03-01,69
2015-04-01,60
2015-05-01,64
2015-06-01,68
2015-07-01,57
2015-08-01,74
2015-09-01,67
2015-10-01,58
2015-11-01,39
2015-12-01,51
2016-01-01,50
2016-02-01,51
2016-03-01,61
2016-04-01,55
2016-05-01,32
2016-06-01,31
2016-07-01,50
2016-08-01,29
2016-09-01,34
2016-10-01,43
2016-11-01,29
2016-12-01,40
2017-01-01,31
