date,whatsapp security lock
2011-01-01,16
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,14
2011-12-01,13
2012-01-01,13
2012-02-01,12
2012-03-01,12
2012-04-01,12
2012-05-01,12
2012-06-01,12
2012-07-01,14
2012-08-01,16
2012-09-01,24
2012-10-01,17
2012-11-01,26
2012-12-01,28
2013-01-01,10
2013-02-01,17
2013-03-01,33
2013-04-01,15
2013-05-01,40
2013-06-01,27
2013-07-01,33
2013-08-01,40
2013-09-01,29
2013-10-01,24
2013-11-01,31
2013-12-01,28
2014-01-01,47
2014-02-01,73
2014-03-01,63
2014-04-01,39
2014-05-01,54
2014-06-01,40
2014-07-01,42
2014-08-01,71
2014-09-01,44
2014-10-01,53
2014-11-01,39
2014-12-01,63
2015-01-01,66
2015-02-01,66
2015-03-01,60
2015-04-01,64
2015-05-01,76
2015-06-01,79
2015-07-01,55
2015-08-01,82
2015-09-01,59
2015-10-01,38
2015-11-01,67
2015-12-01,100
2016-01-01,75
2016-02-01,40
2016-03-01,71
2016-04-01,84
2016-05-01,81
2016-06-01,77
2016-07-01,75
2016-08-01,80
2016-09-01,84
2016-10-01,76
2016-11-01,70
2016-12-01,63
2017-01-01,96
