date,best proxy server
2011-01-01,79
2011-02-01,63
2011-03-01,67
2011-04-01,70
2011-05-01,67
2011-06-01,72
2011-07-01,68
2011-08-01,74
2011-09-01,73
2011-10-01,71
2011-11-01,73
2011-12-01,78
2012-01-01,97
2012-02-01,100
2012-03-01,82
2012-04-01,77
2012-05-01,89
2012-06-01,93
2012-07-01,85
2012-08-01,89
2012-09-01,96
2012-10-01,89
2012-11-01,88
2012-12-01,88
2013-01-01,83
2013-02-01,82
2013-03-01,79
2013-04-01,70
2013-05-01,67
2013-06-01,69
2013-07-01,68
2013-08-01,74
2013-09-01,73
2013-10-01,66
2013-11-01,70
2013-12-01,74
2014-01-01,83
2014-02-01,90
2014-03-01,73
2014-04-01,80
2014-05-01,68
2014-06-01,83
2014-07-01,84
2014-08-01,82
2014-09-01,84
2014-10-01,73
2014-11-01,85
2014-12-01,88
2015-01-01,82
2015-02-01,75
2015-03-01,73
2015-04-01,75
2015-05-01,66
2015-06-01,66
2015-07-01,69
2015-08-01,87
2015-09-01,74
2015-10-01,68
2015-11-01,72
2015-12-01,69
2016-01-01,69
2016-02-01,69
2016-03-01,65
2016-04-01,56
2016-05-01,62
2016-06-01,63
2016-07-01,66
2016-08-01,64
2016-09-01,68
2016-10-01,73
2016-11-01,73
2016-12-01,69
2017-01-01,66
