date,free proxy server list
2011-01-01,81
2011-02-01,77
2011-03-01,69
2011-04-01,76
2011-05-01,76
2011-06-01,67
2011-07-01,77
2011-08-01,79
2011-09-01,80
2011-10-01,80
2011-11-01,80
2011-12-01,83
2012-01-01,100
2012-02-01,97
2012-03-01,86
2012-04-01,88
2012-05-01,92
2012-06-01,80
2012-07-01,88
2012-08-01,91
2012-09-01,98
2012-10-01,87
2012-11-01,78
2012-12-01,81
2013-01-01,76
2013-02-01,72
2013-03-01,78
2013-04-01,70
2013-05-01,64
2013-06-01,67
2013-07-01,53
2013-08-01,53
2013-09-01,48
2013-10-01,60
2013-11-01,52
2013-12-01,49
2014-01-01,51
2014-02-01,57
2014-03-01,47
2014-04-01,46
2014-05-01,42
2014-06-01,51
2014-07-01,52
2014-08-01,57
2014-09-01,58
2014-10-01,57
2014-11-01,56
2014-12-01,50
2015-01-01,50
2015-02-01,51
2015-03-01,54
2015-04-01,47
2015-05-01,47
2015-06-01,37
2015-07-01,41
2015-08-01,49
2015-09-01,41
2015-10-01,40
2015-11-01,41
2015-12-01,38
2016-01-01,41
2016-02-01,34
2016-03-01,34
2016-04-01,36
2016-05-01,38
2016-06-01,31
2016-07-01,36
2016-08-01,38
2016-09-01,38
2016-10-01,37
2016-11-01,34
2016-12-01,30
2017-01-01,32
