date,can your internet provider see your history
2011-01-01,0
2011-02-01,22
2011-03-01,21
2011-04-01,21
2011-05-01,20
2011-06-01,27
2011-07-01,70
2011-08-01,19
2011-09-01,31
2011-10-01,35
2011-11-01,35
2011-12-01,17
2012-01-01,21
2012-02-01,50
2012-03-01,47
2012-04-01,38
2012-05-01,76
2012-06-01,100
2012-07-01,72
2012-08-01,36
2012-09-01,56
2012-10-01,42
2012-11-01,42
2012-12-01,33
2013-01-01,38
2013-02-01,33
2013-03-01,25
2013-04-01,55
2013-05-01,33
2013-06-01,34
2013-07-01,29
2013-08-01,62
2013-09-01,32
2013-10-01,46
2013-11-01,39
2013-12-01,59
2014-01-01,51
2014-02-01,48
2014-03-01,68
2014-04-01,52
2014-05-01,68
2014-06-01,83
2014-07-01,65
2014-08-01,77
2014-09-01,39
2014-10-01,44
2014-11-01,34
2014-12-01,45
2015-01-01,47
2015-02-01,68
2015-03-01,45
2015-04-01,60
2015-05-01,41
2015-06-01,66
2015-07-01,48
2015-08-01,38
2015-09-01,37
2015-10-01,43
2015-11-01,39
2015-12-01,53
2016-01-01,40
2016-02-01,43
2016-03-01,29
2016-04-01,69
2016-05-01,67
2016-06-01,54
2016-07-01,49
2016-08-01,59
2016-09-01,44
2016-10-01,56
2016-11-01,59
2016-12-01,51
2017-01-01,45
