date,best privacy browser
2011-01-01,16
2011-02-01,20
2011-03-01,25
2011-04-01,19
2011-05-01,15
2011-06-01,18
2011-07-01,18
2011-08-01,20
2011-09-01,21
2011-10-01,20
2011-11-01,16
2011-12-01,18
2012-01-01,35
2012-02-01,54
2012-03-01,58
2012-04-01,32
2012-05-01,27
2012-06-01,33
2012-07-01,34
2012-08-01,28
2012-09-01,29
2012-10-01,25
2012-11-01,27
2012-12-01,32
2013-01-01,35
2013-02-01,25
2013-03-01,43
2013-04-01,29
2013-05-01,43
2013-06-01,30
2013-07-01,55
2013-08-01,61
2013-09-01,49
2013-10-01,49
2013-11-01,33
2013-12-01,64
2014-01-01,38
2014-02-01,37
2014-03-01,59
2014-04-01,63
2014-05-01,67
2014-06-01,34
2014-07-01,50
2014-08-01,47
2014-09-01,42
2014-10-01,44
2014-11-01,60
2014-12-01,61
2015-01-01,54
2015-02-01,48
2015-03-01,51
2015-04-01,64
2015-05-01,53
2015-06-01,51
2015-07-01,64
2015-08-01,79
2015-09-01,90
2015-10-01,76
2015-11-01,78
2015-12-01,73
2016-01-01,72
2016-02-01,70
2016-03-01,69
2016-04-01,84
2016-05-01,56
2016-06-01,62
2016-07-01,75
2016-08-01,85
2016-09-01,72
2016-10-01,77
2016-11-01,86
2016-12-01,100
2017-01-01,87
