date,how to go incognito on iphone
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,21
2011-08-01,20
2011-09-01,20
2011-10-01,17
2011-11-01,17
2011-12-01,17
2012-01-01,17
2012-02-01,18
2012-03-01,17
2012-04-01,21
2012-05-01,25
2012-06-01,25
2012-07-01,25
2012-08-01,33
2012-09-01,15
2012-10-01,15
2012-11-01,15
2012-12-01,15
2013-01-01,14
2013-02-01,20
2013-03-01,13
2013-04-01,27
2013-05-01,40
2013-06-01,34
2013-07-01,27
2013-08-01,31
2013-09-01,20
2013-10-01,25
2013-11-01,13
2013-12-01,32
2014-01-01,23
2014-02-01,19
2014-03-01,46
2014-04-01,16
2014-05-01,32
2014-06-01,27
2014-07-01,17
2014-08-01,44
2014-09-01,25
2014-10-01,36
2014-11-01,61
2014-12-01,40
2015-01-01,22
2015-02-01,36
2015-03-01,44
2015-04-01,23
2015-05-01,18
2015-06-01,64
2015-07-01,55
2015-08-01,59
2015-09-01,50
2015-10-01,65
2015-11-01,87
2015-12-01,78
2016-01-01,63
2016-02-01,43
2016-03-01,90
2016-04-01,58
2016-05-01,68
2016-06-01,71
2016-07-01,72
2016-08-01,92
2016-09-01,98
2016-10-01,93
2016-11-01,91
2016-12-01,81
2017-01-01,100
