date,incognito search
2011-01-01,4
2011-02-01,2
2011-03-01,4
2011-04-01,5
2011-05-01,6
2011-06-01,6
2011-07-01,7
2011-08-01,6
2011-09-01,4
2011-10-01,5
2011-11-01,7
2011-12-01,7
2012-01-01,5
2012-02-01,8
2012-03-01,7
2012-04-01,6
2012-05-01,7
2012-06-01,9
2012-07-01,11
2012-08-01,12
2012-09-01,10
2012-10-01,12
2012-11-01,12
2012-12-01,17
2013-01-01,15
2013-02-01,14
2013-03-01,15
2013-04-01,18
2013-05-01,16
2013-06-01,19
2013-07-01,19
2013-08-01,22
2013-09-01,18
2013-10-01,18
2013-11-01,30
2013-12-01,21
2014-01-01,22
2014-02-01,21
2014-03-01,25
2014-04-01,24
2014-05-01,21
2014-06-01,21
2014-07-01,24
2014-08-01,25
2014-09-01,26
2014-10-01,30
2014-11-01,27
2014-12-01,28
2015-01-01,31
2015-02-01,28
2015-03-01,26
2015-04-01,34
2015-05-01,30
2015-06-01,31
2015-07-01,35
2015-08-01,34
2015-09-01,35
2015-10-01,37
2015-11-01,32
2015-12-01,38
2016-01-01,39
2016-02-01,36
2016-03-01,56
2016-04-01,44
2016-05-01,69
2016-06-01,74
2016-07-01,63
2016-08-01,50
2016-09-01,51
2016-10-01,53
2016-11-01,60
2016-12-01,83
2017-01-01,100
