date,twitter delete account
2011-01-01,18
2011-02-01,15
2011-03-01,18
2011-04-01,19
2011-05-01,22
2011-06-01,26
2011-07-01,32
2011-08-01,26
2011-09-01,29
2011-10-01,30
2011-11-01,38
2011-12-01,41
2012-01-01,44
2012-02-01,41
2012-03-01,39
2012-04-01,49
2012-05-01,46
2012-06-01,55
2012-07-01,57
2012-08-01,67
2012-09-01,61
2012-10-01,55
2012-11-01,56
2012-12-01,69
2013-01-01,75
2013-02-01,76
2013-03-01,60
2013-04-01,58
2013-05-01,69
2013-06-01,76
2013-07-01,69
2013-08-01,70
2013-09-01,73
2013-10-01,67
2013-11-01,61
2013-12-01,61
2014-01-01,82
2014-02-01,89
2014-03-01,80
2014-04-01,68
2014-05-01,68
2014-06-01,86
2014-07-01,97
2014-08-01,94
2014-09-01,83
2014-10-01,75
2014-11-01,80
2014-12-01,90
2015-01-01,100
2015-02-01,86
2015-03-01,88
2015-04-01,86
2015-05-01,84
2015-06-01,91
2015-07-01,99
2015-08-01,91
2015-09-01,84
2015-10-01,82
2015-11-01,81
2015-12-01,79
2016-01-01,83
2016-02-01,80
2016-03-01,78
2016-04-01,76
2016-05-01,71
2016-06-01,93
2016-07-01,99
2016-08-01,94
2016-09-01,81
2016-10-01,74
2016-11-01,80
2016-12-01,91
2017-01-01,98
