date,Deleting gmail
2011-01-01,79
2011-02-01,69
2011-03-01,72
2011-04-01,79
2011-05-01,79
2011-06-01,88
2011-07-01,91
2011-08-01,94
2011-09-01,93
2011-10-01,84
2011-11-01,79
2011-12-01,99
2012-01-01,85
2012-02-01,83
2012-03-01,79
2012-04-01,80
2012-05-01,66
2012-06-01,76
2012-07-01,83
2012-08-01,91
2012-09-01,82
2012-10-01,81
2012-11-01,72
2012-12-01,83
2013-01-01,82
2013-02-01,86
2013-03-01,84
2013-04-01,81
2013-05-01,74
2013-06-01,84
2013-07-01,79
2013-08-01,87
2013-09-01,90
2013-10-01,87
2013-11-01,83
2013-12-01,90
2014-01-01,100
2014-02-01,97
2014-03-01,84
2014-04-01,93
2014-05-01,91
2014-06-01,81
2014-07-01,99
2014-08-01,95
2014-09-01,92
2014-10-01,86
2014-11-01,88
2014-12-01,90
2015-01-01,80
2015-02-01,76
2015-03-01,86
2015-04-01,77
2015-05-01,74
2015-06-01,83
2015-07-01,83
2015-08-01,86
2015-09-01,84
2015-10-01,81
2015-11-01,77
2015-12-01,79
2016-01-01,86
2016-02-01,73
2016-03-01,74
2016-04-01,74
2016-05-01,70
2016-06-01,74
2016-07-01,78
2016-08-01,82
2016-09-01,76
2016-10-01,74
2016-11-01,72
2016-12-01,69
2017-01-01,79
