date,spying on you
2011-01-01,18
2011-02-01,24
2011-03-01,21
2011-04-01,27
2011-05-01,30
2011-06-01,18
2011-07-01,17
2011-08-01,16
2011-09-01,28
2011-10-01,21
2011-11-01,23
2011-12-01,33
2012-01-01,25
2012-02-01,22
2012-03-01,27
2012-04-01,25
2012-05-01,22
2012-06-01,24
2012-07-01,26
2012-08-01,26
2012-09-01,28
2012-10-01,30
2012-11-01,22
2012-12-01,26
2013-01-01,27
2013-02-01,32
2013-03-01,29
2013-04-01,43
2013-05-01,40
2013-06-01,100
2013-07-01,66
2013-08-01,47
2013-09-01,38
2013-10-01,54
2013-11-01,57
2013-12-01,53
2014-01-01,49
2014-02-01,48
2014-03-01,46
2014-04-01,35
2014-05-01,39
2014-06-01,39
2014-07-01,40
2014-08-01,48
2014-09-01,40
2014-10-01,37
2014-11-01,41
2014-12-01,38
2015-01-01,36
2015-02-01,73
2015-03-01,41
2015-04-01,44
2015-05-01,40
2015-06-01,42
2015-07-01,40
2015-08-01,76
2015-09-01,71
2015-10-01,52
2015-11-01,52
2015-12-01,50
2016-01-01,41
2016-02-01,42
2016-03-01,43
2016-04-01,38
2016-05-01,42
2016-06-01,46
2016-07-01,43
2016-08-01,42
2016-09-01,45
2016-10-01,38
2016-11-01,49
2016-12-01,44
2017-01-01,49
