date,uber settings
2011-01-01,10
2011-02-01,7
2011-03-01,4
2011-04-01,0
2011-05-01,18
2011-06-01,8
2011-07-01,4
2011-08-01,13
2011-09-01,7
2011-10-01,9
2011-11-01,5
2011-12-01,7
2012-01-01,6
2012-02-01,16
2012-03-01,3
2012-04-01,7
2012-05-01,11
2012-06-01,6
2012-07-01,8
2012-08-01,5
2012-09-01,5
2012-10-01,6
2012-11-01,6
2012-12-01,0
2013-01-01,5
2013-02-01,6
2013-03-01,5
2013-04-01,5
2013-05-01,4
2013-06-01,4
2013-07-01,9
2013-08-01,12
2013-09-01,8
2013-10-01,7
2013-11-01,9
2013-12-01,12
2014-01-01,9
2014-02-01,4
2014-03-01,13
2014-04-01,5
2014-05-01,13
2014-06-01,14
2014-07-01,20
2014-08-01,16
2014-09-01,20
2014-10-01,15
2014-11-01,20
2014-12-01,18
2015-01-01,16
2015-02-01,15
2015-03-01,25
2015-04-01,26
2015-05-01,59
2015-06-01,57
2015-07-01,52
2015-08-01,39
2015-09-01,47
2015-10-01,36
2015-11-01,35
2015-12-01,64
2016-01-01,56
2016-02-01,37
2016-03-01,47
2016-04-01,49
2016-05-01,55
2016-06-01,60
2016-07-01,57
2016-08-01,75
2016-09-01,68
2016-10-01,71
2016-11-01,66
2016-12-01,100
2017-01-01,79
