date,how to unfollow someone on facebook
2011-01-01,4
2011-02-01,4
2011-03-01,0
2011-04-01,7
2011-05-01,3
2011-06-01,4
2011-07-01,3
2011-08-01,3
2011-09-01,5
2011-10-01,5
2011-11-01,4
2011-12-01,5
2012-01-01,8
2012-02-01,7
2012-03-01,4
2012-04-01,6
2012-05-01,4
2012-06-01,5
2012-07-01,4
2012-08-01,4
2012-09-01,7
2012-10-01,5
2012-11-01,5
2012-12-01,4
2013-01-01,32
2013-02-01,19
2013-03-01,41
2013-04-01,70
2013-05-01,42
2013-06-01,14
2013-07-01,36
2013-08-01,62
2013-09-01,57
2013-10-01,21
2013-11-01,30
2013-12-01,54
2014-01-01,79
2014-02-01,64
2014-03-01,43
2014-04-01,52
2014-05-01,59
2014-06-01,83
2014-07-01,100
2014-08-01,72
2014-09-01,43
2014-10-01,36
2014-11-01,58
2014-12-01,79
2015-01-01,89
2015-02-01,45
2015-03-01,53
2015-04-01,53
2015-05-01,74
2015-06-01,89
2015-07-01,39
2015-08-01,41
2015-09-01,58
2015-10-01,53
2015-11-01,38
2015-12-01,40
2016-01-01,43
2016-02-01,66
2016-03-01,48
2016-04-01,38
2016-05-01,27
2016-06-01,44
2016-07-01,66
2016-08-01,47
2016-09-01,38
2016-10-01,40
2016-11-01,64
2016-12-01,64
2017-01-01,62
