date,How to unfollow someone on instagram
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,3
2011-11-01,3
2011-12-01,5
2012-01-01,8
2012-02-01,5
2012-03-01,6
2012-04-01,13
2012-05-01,19
2012-06-01,28
2012-07-01,29
2012-08-01,26
2012-09-01,46
2012-10-01,34
2012-11-01,38
2012-12-01,36
2013-01-01,57
2013-02-01,52
2013-03-01,56
2013-04-01,56
2013-05-01,47
2013-06-01,56
2013-07-01,66
2013-08-01,73
2013-09-01,64
2013-10-01,41
2013-11-01,58
2013-12-01,74
2014-01-01,59
2014-02-01,55
2014-03-01,52
2014-04-01,72
2014-05-01,61
2014-06-01,54
2014-07-01,69
2014-08-01,69
2014-09-01,57
2014-10-01,61
2014-11-01,60
2014-12-01,78
2015-01-01,67
2015-02-01,65
2015-03-01,59
2015-04-01,65
2015-05-01,66
2015-06-01,67
2015-07-01,70
2015-08-01,58
2015-09-01,80
2015-10-01,66
2015-11-01,71
2015-12-01,74
2016-01-01,77
2016-02-01,72
2016-03-01,73
2016-04-01,77
2016-05-01,75
2016-06-01,78
2016-07-01,100
2016-08-01,82
2016-09-01,67
2016-10-01,73
2016-11-01,79
2016-12-01,83
2017-01-01,68
