date,how to encrypt emails
2011-01-01,21
2011-02-01,61
2011-03-01,41
2011-04-01,77
2011-05-01,48
2011-06-01,28
2011-07-01,56
2011-08-01,46
2011-09-01,58
2011-10-01,55
2011-11-01,43
2011-12-01,78
2012-01-01,50
2012-02-01,51
2012-03-01,38
2012-04-01,80
2012-05-01,42
2012-06-01,41
2012-07-01,54
2012-08-01,40
2012-09-01,42
2012-10-01,53
2012-11-01,39
2012-12-01,59
2013-01-01,35
2013-02-01,58
2013-03-01,44
2013-04-01,57
2013-05-01,56
2013-06-01,48
2013-07-01,78
2013-08-01,64
2013-09-01,38
2013-10-01,52
2013-11-01,77
2013-12-01,29
2014-01-01,84
2014-02-01,54
2014-03-01,82
2014-04-01,66
2014-05-01,59
2014-06-01,65
2014-07-01,50
2014-08-01,25
2014-09-01,77
2014-10-01,50
2014-11-01,91
2014-12-01,58
2015-01-01,51
2015-02-01,47
2015-03-01,61
2015-04-01,99
2015-05-01,43
2015-06-01,84
2015-07-01,75
2015-08-01,60
2015-09-01,73
2015-10-01,76
2015-11-01,54
2015-12-01,59
2016-01-01,81
2016-02-01,100
2016-03-01,69
2016-04-01,69
2016-05-01,76
2016-06-01,60
2016-07-01,73
2016-08-01,46
2016-09-01,80
2016-10-01,97
2016-11-01,91
2016-12-01,82
2017-01-01,94
