date,create a gmail account for kids,delete hangout history,delete hangouts account,find friends location without them knowing,gchat off the record,gmail age requirement,google hangout chat history,google hangouts privacy,google plus location sharing,hack email password free online,hack gmail account online tool,how to delete chat history in gmail,how to hack a gmail account password easily,how to hack gmail account on android,how to hack into someones email without their password,how to retrieve deleted hangout messages,search hangouts android,search hangouts history android,Row Total
1/1/11,31,0,0,0,52,80,0,0,0,212,63,48,0,0,31,0,0,0,517
2/1/11,33,35,0,0,132,88,0,0,0,195,67,67,0,0,31,0,0,0,648
3/1/11,48,29,0,30,69,171,0,0,0,300,30,30,29,29,32,0,0,0,797
4/1/11,64,0,0,30,43,209,0,0,0,242,33,32,32,32,32,0,0,0,749
5/1/11,30,0,0,30,74,96,0,0,0,330,30,30,29,29,0,0,0,0,678
6/1/11,31,0,0,0,82,130,0,0,0,253,52,93,61,31,0,0,0,0,733
7/1/11,60,0,0,0,112,417,0,0,28,377,31,93,30,31,0,0,0,0,1179
8/1/11,71,0,0,0,57,263,0,0,28,253,67,73,28,28,0,0,0,0,868
9/1/11,55,0,0,0,74,300,0,0,28,342,38,38,28,28,0,0,0,0,931
10/1/11,66,0,0,0,97,226,0,0,0,295,62,93,39,40,0,0,0,0,918
11/1/11,97,0,0,0,98,130,0,27,0,295,41,71,32,54,26,0,27,0,898
12/1/11,86,0,0,0,78,363,0,24,0,277,78,53,32,32,24,0,25,0,1072
1/1/12,104,0,0,0,73,142,25,24,0,324,41,81,32,32,24,0,25,0,927
2/1/12,111,0,0,0,75,130,25,36,0,371,25,89,50,38,25,0,25,0,1000
3/1/12,86,0,0,0,48,146,25,48,23,359,23,79,47,25,23,0,0,0,932
4/1/12,171,0,0,0,86,113,25,25,23,448,38,83,33,25,23,0,0,0,1093
5/1/12,182,0,0,0,69,134,30,23,23,465,39,69,91,24,23,0,0,0,1172
6/1/12,175,24,0,24,64,117,37,24,23,371,25,81,36,37,36,0,0,0,1074
7/1/12,102,22,0,24,70,84,47,24,23,483,71,87,39,35,23,0,0,0,1134
8/1/12,39,22,0,24,85,159,35,48,23,589,47,132,46,54,35,0,0,0,1338
9/1/12,53,22,0,47,54,196,35,43,23,353,23,63,34,24,46,0,0,0,1016
10/1/12,50,22,22,20,77,150,32,43,23,300,21,95,45,53,42,0,0,0,995
11/1/12,53,22,22,20,57,171,49,21,17,336,21,50,56,21,32,0,22,0,970
12/1/12,106,22,22,20,78,242,64,22,17,389,21,114,42,28,42,0,0,0,1229
1/1/13,115,40,22,20,58,175,59,20,17,324,20,65,38,31,42,0,0,0,1046
2/1/13,77,29,25,23,64,171,64,22,23,318,21,100,21,32,42,0,0,0,1032
3/1/13,82,32,25,26,66,192,64,19,17,412,38,71,38,19,19,0,0,0,1120
4/1/13,66,40,33,29,77,167,44,29,23,383,20,102,38,19,19,0,0,0,1089
5/1/13,75,90,38,29,69,150,174,44,28,295,20,89,37,44,19,0,28,0,1229
6/1/13,64,164,38,30,90,134,127,59,50,318,20,124,57,27,19,0,26,0,1347
7/1/13,100,187,46,19,64,159,244,57,384,336,44,197,31,47,19,0,19,19,1972
8/1/13,26,166,33,37,62,155,157,45,556,371,47,114,37,44,25,38,26,18,1957
9/1/13,42,119,73,17,31,134,118,19,306,306,38,63,43,44,31,17,37,18,1456
10/1/13,46,200,36,17,64,200,127,36,200,377,18,124,26,18,17,17,35,17,1575
11/1/13,66,150,106,19,60,167,142,48,195,318,18,108,35,18,18,18,100,17,1603
12/1/13,71,169,119,36,72,359,113,48,128,424,28,91,47,37,27,18,83,17,1887
1/1/14,33,169,60,17,56,163,132,45,95,418,34,112,33,22,18,16,45,17,1485
2/1/14,37,190,103,19,85,113,164,56,117,477,18,153,27,56,18,16,48,16,1713
3/1/14,33,150,76,33,60,117,120,100,145,348,17,99,32,60,22,16,49,16,1493
4/1/14,51,156,95,29,45,155,96,51,123,253,50,79,22,18,17,25,78,17,1360
5/1/14,28,140,114,26,52,113,125,78,100,324,17,51,28,45,17,17,63,17,1355
6/1/14,44,148,63,29,89,184,96,45,123,277,20,97,19,76,38,18,69,18,1453
7/1/14,37,174,109,19,37,150,110,56,100,295,28,67,46,50,24,18,73,18,1411
8/1/14,55,164,136,19,31,180,166,50,112,253,28,63,55,19,28,24,92,19,1494
9/1/14,53,264,171,19,29,159,193,72,89,236,36,59,58,44,23,26,93,17,1641
10/1/14,73,235,179,34,68,109,161,63,67,277,23,91,25,60,17,50,84,17,1633
11/1/14,22,193,171,17,40,184,108,17,78,265,52,36,17,29,43,34,74,43,1423
12/1/14,51,172,106,51,73,263,157,40,123,295,26,108,56,67,25,21,75,25,1734
1/1/15,55,182,152,22,69,180,115,70,100,195,33,40,32,27,48,21,85,16,1442
2/1/15,22,174,130,29,69,100,125,47,106,236,18,57,63,57,34,21,46,24,1358
3/1/15,24,164,225,31,37,142,74,43,123,253,33,53,36,47,31,21,63,31,1431
4/1/15,17,206,79,22,79,130,105,41,100,242,17,75,24,58,15,32,106,37,1385
5/1/15,31,174,176,26,22,146,93,74,106,195,31,89,31,79,15,21,83,23,1415
6/1/15,17,216,173,40,27,126,110,38,78,230,25,53,47,58,32,16,99,32,1417
7/1/15,42,200,238,31,54,159,93,58,67,277,31,57,23,73,39,31,57,16,1546
8/1/15,37,200,195,31,36,188,108,53,95,218,31,40,31,53,23,15,87,46,1487
9/1/15,46,190,236,31,45,109,91,72,78,253,36,42,20,66,14,38,80,25,1472
10/1/15,24,108,171,29,29,92,120,49,95,118,15,30,33,67,14,24,90,14,1122
11/1/15,66,161,225,44,44,134,59,60,167,159,15,40,29,64,22,27,78,15,1409
12/1/15,50,193,198,30,15,171,100,30,123,171,23,30,25,74,15,30,74,15,1367
1/1/16,64,198,146,29,43,134,91,44,106,136,38,53,28,57,21,21,85,21,1315
2/1/16,24,119,219,19,36,100,37,48,134,148,28,34,33,57,14,21,60,28,1159
3/1/16,31,79,206,61,23,88,105,53,112,165,46,53,26,66,20,26,48,13,1221
4/1/16,20,111,187,68,14,96,54,28,95,106,13,32,36,56,14,27,46,14,1017
5/1/16,22,90,155,58,14,105,79,34,112,165,20,20,31,66,20,22,74,13,1100
6/1/16,28,66,219,46,28,117,69,21,50,177,13,18,27,64,27,18,59,14,1061
7/1/16,50,103,200,55,41,171,35,42,106,189,38,51,23,45,23,27,54,14,1267
8/1/16,60,95,200,36,14,209,71,34,117,159,162,20,36,90,27,20,47,13,1410
9/1/16,22,69,271,46,33,105,66,50,95,100,94,28,27,76,13,67,40,15,1217
10/1/16,17,43,236,77,29,71,47,47,84,159,71,12,29,109,38,25,63,17,1174
11/1/16,17,79,209,141,18,113,47,39,84,165,34,14,38,145,30,34,47,19,1273
12/1/16,35,100,203,108,19,192,40,52,123,189,68,22,38,124,30,25,64,25,1457
1/1/17,33,87,244,109,24,113,64,29,45,136,42,20,48,105,28,20,43,16,1206
