date,Anonymous WhatsApp,how to encrypt whatsapp messages,spying on you,WhatsApp help,WhatsApp monitoring,Total
1/1/11,0,0,150,29,0,179
2/1/11,0,0,175,43,10,228
3/1/11,0,0,175,50,0,225
4/1/11,0,0,226,58,0,284
5/1/11,0,0,209,58,17,284
6/1/11,9,0,167,72,0,248
7/1/11,0,0,167,72,0,239
8/1/11,17,0,150,93,9,269
9/1/11,9,0,226,86,16,337
10/1/11,11,0,192,72,14,289
11/1/11,30,0,209,79,7,325
12/1/11,14,0,325,122,11,472
1/1/12,36,0,217,150,7,410
2/1/12,28,0,217,122,11,378
3/1/12,6,0,242,158,16,422
4/1/12,19,0,242,115,27,403
5/1/12,19,0,200,115,25,359
6/1/12,17,7,217,136,30,407
7/1/12,25,0,209,172,26,432
8/1/12,19,0,192,208,23,442
9/1/12,19,13,217,222,25,496
10/1/12,17,0,234,172,23,446
11/1/12,38,0,192,258,34,522
12/1/12,33,6,226,258,20,543
1/1/13,22,0,251,286,34,593
2/1/13,30,0,251,229,28,538
3/1/13,44,5,259,258,28,594
4/1/13,36,0,367,236,44,683
5/1/13,36,5,367,258,31,697
6/1/13,41,6,834,258,31,1170
7/1/13,44,6,517,279,46,892
8/1/13,52,5,400,315,35,807
9/1/13,65,5,342,279,47,738
10/1/13,76,5,434,358,42,915
11/1/13,49,5,525,315,40,934
12/1/13,36,5,467,286,35,829
1/1/14,98,5,426,300,38,867
2/1/14,195,7,426,408,54,1090
3/1/14,76,5,375,372,55,883
4/1/14,68,10,300,343,46,767
5/1/14,60,10,300,386,39,795
6/1/14,82,5,342,358,59,846
7/1/14,90,5,325,372,60,852
8/1/14,63,7,426,522,49,1067
9/1/14,90,5,350,408,62,915
10/1/14,90,5,309,443,66,913
11/1/14,122,15,350,465,78,1030
12/1/14,109,7,317,486,46,965
1/1/15,152,5,334,565,81,1137
2/1/15,128,10,675,543,117,1473
3/1/15,117,4,384,643,96,1244
4/1/15,125,5,392,615,67,1204
5/1/15,138,6,342,579,67,1132
6/1/15,109,8,367,550,76,1110
7/1/15,130,5,367,608,110,1220
8/1/15,114,9,625,586,89,1423
9/1/15,130,9,567,679,74,1459
10/1/15,114,8,434,615,98,1269
11/1/15,271,9,409,493,61,1243
12/1/15,184,13,434,650,70,1351
1/1/16,187,8,359,593,76,1223
2/1/16,160,4,400,643,81,1288
3/1/16,152,8,375,636,83,1254
4/1/16,144,100,342,650,73,1309
5/1/16,200,15,350,679,67,1311
6/1/16,125,25,350,579,94,1173
7/1/16,128,23,392,643,83,1269
8/1/16,133,9,375,600,94,1211
9/1/16,122,6,400,715,89,1332
10/1/16,152,13,350,658,78,1251
11/1/16,146,11,442,672,99,1370
12/1/16,144,17,375,665,84,1285
1/1/17,133,10,434,665,105,1347
