date,google hangouts encryption,Total
1/1/11,0,0
2/1/11,0,0
3/1/11,0,0
4/1/11,0,0
5/1/11,0,0
6/1/11,0,0
7/1/11,0,0
8/1/11,0,0
9/1/11,0,0
10/1/11,0,0
11/1/11,0,0
12/1/11,0,0
1/1/12,0,0
2/1/12,0,0
3/1/12,0,0
4/1/12,31,31
5/1/12,0,0
6/1/12,0,0
7/1/12,0,0
8/1/12,0,0
9/1/12,0,0
10/1/12,0,0
11/1/12,0,0
12/1/12,0,0
1/1/13,24,24
2/1/13,0,0
3/1/13,0,0
4/1/13,24,24
5/1/13,35,35
6/1/13,24,24
7/1/13,23,23
8/1/13,23,23
9/1/13,23,23
10/1/13,43,43
11/1/13,44,44
12/1/13,22,22
1/1/14,21,21
2/1/14,22,22
3/1/14,30,30
4/1/14,31,31
5/1/14,28,28
6/1/14,31,31
7/1/14,23,23
8/1/14,23,23
9/1/14,33,33
10/1/14,35,35
11/1/14,43,43
12/1/14,21,21
1/1/15,40,40
2/1/15,32,32
3/1/15,58,58
4/1/15,40,40
5/1/15,32,32
6/1/15,46,46
7/1/15,52,52
8/1/15,86,86
9/1/15,19,19
10/1/15,27,27
11/1/15,74,74
12/1/15,47,47
1/1/16,52,52
2/1/16,52,52
3/1/16,66,66
4/1/16,51,51
5/1/16,44,44
6/1/16,40,40
7/1/16,91,91
8/1/16,39,39
9/1/16,100,100
10/1/16,47,47
11/1/16,42,42
12/1/16,21,21
1/1/17,60,60
