date,Easy encryption,Encrypt phone calls
2011-01-01,242,21
2011-02-01,220,0
2011-03-01,244,20
2011-04-01,166,21
2011-05-01,157,30
2011-06-01,244,35
2011-07-01,188,21
2011-08-01,125,26
2011-09-01,166,19
2011-10-01,188,36
2011-11-01,237,18
2011-12-01,152,30
2012-01-01,166,33
2012-02-01,157,23
2012-03-01,118,48
2012-04-01,227,42
2012-05-01,220,31
2012-06-01,125,22
2012-07-01,130,32
2012-08-01,140,48
2012-09-01,210,16
2012-10-01,154,33
2012-11-01,159,14
2012-12-01,74,29
2013-01-01,140,35
2013-02-01,188,38
2013-03-01,125,34
2013-04-01,161,26
2013-05-01,125,44
2013-06-01,181,100
2013-07-01,140,56
2013-08-01,130,51
2013-09-01,152,37
2013-10-01,183,28
2013-11-01,137,24
2013-12-01,179,40
2014-01-01,164,30
2014-02-01,130,41
2014-03-01,142,37
2014-04-01,193,34
2014-05-01,113,38
2014-06-01,157,43
2014-07-01,152,37
2014-08-01,113,33
2014-09-01,132,60
2014-10-01,152,87
2014-11-01,169,35
2014-12-01,125,34
2015-01-01,152,48
2015-02-01,166,35
2015-03-01,164,67
2015-04-01,125,36
2015-05-01,110,28
2015-06-01,135,32
2015-07-01,100,53
2015-08-01,135,56
2015-09-01,149,28
2015-10-01,154,52
2015-11-01,152,57
2015-12-01,144,44
2016-01-01,100,64
2016-02-01,152,38
2016-03-01,154,42
2016-04-01,205,43
2016-05-01,127,33
2016-06-01,98,37
2016-07-01,76,31
2016-08-01,122,30
2016-09-01,100,45
2016-10-01,120,32
2016-11-01,137,55
2016-12-01,100,55
2017-01-01,118,30
