date,Delete Video from Youtube,Delete YouTube App,Delete Youtube Video,Get Rid of YouTube,How do I delete youtube,How to delete video from Youtube,how to delete youtube,how to remove Youtube,remove youtube,uninstall computer programs,uninstall youtube
2011-01-01,4,1,15,31,5,3,46,41,85,2,12
2011-02-01,3,1,15,31,6,2,42,43,85,2,13
2011-03-01,5,1,20,31,5,3,46,44,85,1,15
2011-04-01,4,1,20,34,5,2,49,46,90,2,13
2011-05-01,4,1,16,32,5,3,47,45,88,2,10
2011-06-01,7,1,31,38,7,5,65,50,94,2,11
2011-07-01,7,2,32,41,7,5,72,55,102,2,14
2011-08-01,7,3,32,40,8,5,73,54,102,1,15
2011-09-01,6,2,25,40,8,4,65,50,93,2,13
2011-10-01,6,2,26,40,7,4,64,51,97,2,13
2011-11-01,6,2,27,38,6,4,65,50,99,1,13
2011-12-01,9,3,34,43,10,6,95,60,111,2,14
2012-01-01,7,2,30,39,9,5,84,55,104,2,14
2012-02-01,6,2,27,36,8,4,74,58,104,2,11
2012-03-01,6,2,25,38,8,4,70,59,108,2,13
2012-04-01,5,2,23,39,7,4,74,57,110,2,12
2012-05-01,4,2,21,36,7,3,70,53,105,1,12
2012-06-01,5,2,21,40,8,3,75,61,108,2,14
2012-07-01,6,2,26,41,9,3,86,64,113,2,15
2012-08-01,6,2,23,41,8,4,83,62,117,2,16
2012-09-01,5,7,24,42,8,4,76,63,125,2,17
2012-10-01,6,6,22,41,9,5,77,61,114,2,15
2012-11-01,6,5,22,42,8,4,80,58,111,2,15
2012-12-01,6,7,24,43,9,4,94,70,128,2,16
2013-01-01,5,6,22,41,9,4,92,66,119,2,14
2013-02-01,5,6,21,42,9,4,89,69,124,3,14
2013-03-01,6,5,22,41,8,4,86,71,125,2,15
2013-04-01,5,5,23,44,9,3,85,66,124,2,14
2013-05-01,5,5,23,45,8,4,86,64,119,2,14
2013-06-01,6,6,23,45,9,4,86,68,120,2,15
2013-07-01,5,5,24,50,7,3,94,69,124,2,15
2013-08-01,4,7,18,49,9,3,100,73,131,2,14
2013-09-01,4,6,16,45,9,2,86,68,127,2,15
2013-10-01,4,5,15,47,8,3,79,74,134,2,16
2013-11-01,4,5,15,48,7,3,79,77,139,2,18
2013-12-01,5,5,16,48,8,3,82,79,142,3,18
2014-01-01,4,6,15,48,8,3,87,79,140,3,18
2014-02-01,5,4,16,43,7,4,82,78,140,2,17
2014-03-01,4,5,16,46,7,3,83,79,140,3,18
2014-04-01,4,5,16,45,7,3,80,78,139,2,17
2014-05-01,4,5,16,47,7,3,80,77,139,2,16
2014-06-01,4,5,16,47,7,3,80,75,137,3,16
2014-07-01,5,5,20,47,8,3,96,80,137,3,17
2014-08-01,5,6,21,52,7,3,97,89,150,2,19
2014-09-01,5,6,18,47,7,3,89,85,148,2,20
2014-10-01,4,5,19,45,6,4,84,81,142,2,19
2014-11-01,5,5,19,44,7,4,88,80,144,2,19
2014-12-01,5,5,20,44,6,4,88,84,145,2,19
2015-01-01,5,5,20,43,6,3,89,80,142,3,19
2015-02-01,4,4,19,40,6,3,79,81,142,2,18
2015-03-01,5,4,18,41,6,4,77,81,140,2,17
2015-04-01,5,4,20,44,5,4,81,80,145,2,15
2015-05-01,5,5,20,44,6,4,78,80,144,2,17
2015-06-01,6,4,19,42,6,4,81,83,147,2,16
2015-07-01,5,5,20,45,6,3,88,92,151,2,18
2015-08-01,5,5,19,46,6,3,86,90,154,3,18
2015-09-01,5,5,17,42,6,3,76,80,137,2,16
2015-10-01,4,4,17,37,5,3,73,76,133,2,16
2015-11-01,4,5,18,35,6,3,70,76,127,2,15
2015-12-01,5,6,19,37,6,3,78,80,139,2,17
2016-01-01,5,5,19,40,6,3,79,81,139,2,15
2016-02-01,4,4,17,37,5,3,71,76,128,2,15
2016-03-01,4,3,16,37,5,3,69,75,131,2,13
2016-04-01,4,4,17,37,5,3,67,74,128,2,13
2016-05-01,5,4,17,39,4,3,69,73,127,2,13
2016-06-01,4,3,17,39,5,3,72,73,127,2,14
2016-07-01,4,4,17,41,5,3,75,79,136,2,13
2016-08-01,4,5,18,40,5,2,74,81,137,2,14
2016-09-01,4,4,16,35,5,3,71,76,131,1,13
2016-10-01,4,4,16,36,4,3,71,76,133,1,15
2016-11-01,5,5,16,35,5,4,69,73,124,2,13
2016-12-01,4,5,18,35,4,3,77,76,128,1,13
2017-01-01,5,5,18,37,4,3,79,77,130,2,14
