date,Deactivate twitter,Delete my twitter account,delete twitter account,Deleting a twitter account,deleting twitter account,deleting twitter,how delete twitter account,How do I deactivate my twitter account,How do I delete my twitter account,how to delete a twitter account,how to delete twitter account,how to delete twitter,how to remove twitter,twitter account delete,twitter delete account,Twitter settings
2011-01-01,18,11,80,1,5,14,50,1,4,10,35,112,42,80,80,54
2011-02-01,23,12,80,1,2,13,54,0,7,12,47,112,46,75,75,67
2011-03-01,23,14,95,1,4,16,58,1,5,18,47,130,59,95,95,70
2011-04-01,29,12,95,1,4,16,58,1,4,13,54,136,57,95,95,97
2011-05-01,38,17,115,2,7,17,75,1,5,18,60,159,66,115,115,115
2011-06-01,35,22,135,2,7,19,86,2,7,23,66,183,56,130,130,115
2011-07-01,40,21,155,2,5,23,104,1,8,30,79,218,72,160,160,149
2011-08-01,58,23,140,4,7,16,100,2,7,28,69,212,76,135,135,154
2011-09-01,55,18,140,3,5,17,90,1,6,24,63,189,63,140,140,152
2011-10-01,52,18,155,2,6,18,100,1,7,30,72,230,64,150,150,172
2011-11-01,69,26,185,2,7,19,129,2,13,35,104,253,77,180,180,179
2011-12-01,66,25,200,3,8,25,136,1,11,35,104,283,83,200,200,152
2012-01-01,92,31,220,2,9,25,154,1,10,38,129,312,86,220,220,136
2012-02-01,103,29,210,2,11,22,125,2,9,34,107,295,94,205,205,124
2012-03-01,98,31,195,2,9,27,133,2,12,38,97,295,76,185,185,136
2012-04-01,120,37,235,3,8,27,172,3,14,46,119,353,95,225,225,136
2012-05-01,123,35,235,3,9,27,168,1,12,42,122,342,86,235,235,131
2012-06-01,138,39,275,3,11,30,183,2,14,53,144,412,93,265,265,140
2012-07-01,166,46,290,3,12,27,200,2,18,57,138,477,98,295,295,147
2012-08-01,175,44,335,4,10,33,240,3,12,73,166,465,100,330,330,152
2012-09-01,169,38,300,3,13,28,197,3,12,65,169,406,102,290,290,158
2012-10-01,166,37,265,3,12,24,179,4,11,59,147,400,90,260,260,133
2012-11-01,180,36,290,3,13,29,190,5,12,58,138,430,92,285,285,133
