date,Account delete youtube,Close youtube account,delete my youtube account,delete youtube account,deleting youtube account,disable youtube account,How do i delete my youtube account,how do you delete a youtube account,how to delete a youtube account,how to delete youtube account,youtube delete my account,Total
1/1/11,150,12,27,147,3,3,9,8,31,88,27,505
2/1/11,136,19,19,133,6,3,10,10,36,86,19,477
3/1/11,158,11,21,158,6,6,9,10,41,88,21,529
4/1/11,147,11,23,161,7,6,8,8,33,88,23,515
5/1/11,150,18,27,154,6,5,10,10,33,91,27,531
6/1/11,183,21,28,190,6,7,12,12,43,108,28,638
7/1/11,225,18,30,225,9,6,13,14,54,142,30,766
8/1/11,225,27,42,233,8,9,17,12,51,142,42,808
9/1/11,233,21,44,222,11,7,18,11,59,135,44,805
10/1/11,236,24,39,233,11,7,20,9,50,140,39,808
11/1/11,258,23,35,268,6,7,17,15,61,159,35,884
12/1/11,268,26,45,268,8,8,21,13,65,179,45,946
1/1/12,250,28,44,247,9,8,18,14,63,164,44,889
2/1/12,229,24,41,236,6,5,15,10,51,152,41,810
3/1/12,233,25,40,240,8,5,17,11,51,159,40,829
4/1/12,272,35,46,286,9,6,21,12,65,183,46,981
5/1/12,265,30,40,272,9,6,19,11,58,174,40,924
6/1/12,311,28,54,300,9,9,16,14,71,196,54,1062
7/1/12,315,25,49,304,10,7,20,16,81,208,49,1084
8/1/12,318,31,47,293,8,8,17,18,81,215,47,1083
9/1/12,236,31,37,229,12,6,15,11,55,164,37,833
10/1/12,247,20,40,261,12,6,14,15,52,152,40,859
11/1/12,258,24,52,261,11,6,21,10,64,179,52,938
12/1/12,308,31,46,297,13,8,16,18,62,193,46,1038
1/1/13,304,27,46,304,11,8,15,14,76,205,46,1056
2/1/13,300,26,51,293,11,6,21,14,77,205,51,1055
3/1/13,283,34,46,283,15,7,17,16,65,186,46,998
4/1/13,300,27,50,304,15,9,17,14,67,198,50,1051
5/1/13,290,29,43,283,12,8,15,12,63,193,43,991
6/1/13,315,22,49,318,13,7,17,13,75,213,49,1091
7/1/13,318,24,51,322,13,7,18,14,87,230,51,1135
8/1/13,358,20,61,358,14,7,20,13,100,244,61,1256
9/1/13,283,19,45,286,15,9,15,9,68,186,45,980
10/1/13,261,13,42,261,15,9,18,7,57,171,42,896
11/1/13,250,17,44,258,14,8,13,8,51,169,44,876
12/1/13,272,13,43,272,10,10,17,11,64,174,43,929
1/1/14,268,14,44,268,14,7,17,12,73,186,44,947
2/1/14,233,11,47,236,10,8,13,6,55,157,47,823
3/1/14,254,13,39,250,13,9,11,10,58,169,39,865
4/1/14,222,13,34,222,10,5,11,7,56,154,34,768
5/1/14,225,13,38,222,11,4,11,8,54,149,38,773
6/1/14,225,14,31,225,8,7,9,6,57,147,31,760
7/1/14,275,17,41,265,11,8,11,9,72,183,41,933
8/1/14,258,18,39,254,12,9,8,9,65,181,39,892
9/1/14,218,9,32,218,11,6,10,7,47,147,32,737
10/1/14,215,12,31,218,11,6,8,6,48,142,31,728
11/1/14,218,11,30,222,9,9,9,6,49,142,30,735
12/1/14,222,12,31,229,8,7,7,7,54,149,31,757
1/1/15,225,12,29,225,11,7,11,7,58,152,29,766
2/1/15,200,11,29,204,9,7,9,4,42,132,29,676
3/1/15,193,10,31,193,6,5,7,5,49,137,31,667
4/1/15,197,13,27,204,10,6,7,5,48,137,27,681
5/1/15,197,9,28,197,10,3,7,5,54,135,28,673
6/1/15,200,13,30,197,8,7,6,6,49,140,30,686
7/1/15,236,10,32,240,10,7,9,6,50,166,32,798
8/1/15,222,8,30,222,6,7,7,5,48,152,30,737
9/1/15,179,9,29,175,9,5,7,5,38,118,29,603
10/1/15,168,12,23,168,6,5,5,5,37,115,23,567
11/1/15,161,10,24,161,6,7,6,5,38,113,24,555
12/1/15,208,13,32,204,8,5,6,6,42,130,32,686
1/1/16,204,14,29,204,6,7,8,6,49,140,29,696
2/1/16,183,10,26,193,7,5,6,5,42,120,26,623
3/1/16,179,10,27,179,7,5,7,5,39,120,27,605
4/1/16,179,9,24,186,6,6,7,6,41,115,24,603
5/1/16,168,9,25,172,5,4,5,4,39,113,25,569
6/1/16,183,10,26,183,5,6,7,5,45,130,26,626
7/1/16,211,13,36,204,4,6,8,6,47,149,36,720
8/1/16,197,13,34,193,6,8,8,6,43,135,34,677
9/1/16,179,10,27,183,5,8,4,4,34,120,27,601
10/1/16,168,12,24,172,5,8,4,5,34,118,24,574
11/1/16,175,10,26,175,5,6,6,4,36,113,26,582
12/1/16,204,11,34,204,7,9,6,4,44,140,34,697
1/1/17,211,10,30,215,5,9,6,6,41,137,30,700
