date,how to change facebook privacy settings,how to change instagram privacy settings,how to change privacy settings on Instagram,instagram privacy settings,Instagram setting,Instagram settings,privacy settings for instagram,Set instagram to private,Total
1/1/11,77,0,0,0,5,9,0,0,91
2/1/11,80,0,0,0,0,9,0,0,89
3/1/11,70,0,0,0,0,9,0,0,79
4/1/11,34,0,0,6,0,17,0,0,57
5/1/11,54,0,0,0,5,17,0,0,76
6/1/11,80,0,0,6,5,17,0,0,108
7/1/11,80,0,0,0,20,25,0,0,125
8/1/11,84,0,0,6,10,17,0,7,124
9/1/11,240,0,0,0,20,17,0,7,284
10/1/11,240,0,0,6,15,25,0,7,293
11/1/11,190,0,0,12,20,34,0,7,263
12/1/11,174,0,0,6,15,25,0,7,227
1/1/12,144,6,0,6,30,67,6,12,271
2/1/12,184,0,0,6,40,50,12,8,300
3/1/12,147,0,0,30,45,67,0,6,295
4/1/12,170,11,9,30,140,209,11,20,600
5/1/12,147,11,11,53,135,217,9,26,609
6/1/12,167,6,6,42,85,209,17,17,549
7/1/12,144,5,5,42,75,284,8,24,587
8/1/12,224,14,11,59,115,259,8,33,723
9/1/12,334,100,77,589,230,834,46,56,2266
10/1/12,297,69,60,512,185,792,36,44,1995
11/1/12,240,49,38,430,130,634,16,44,1581
12/1/12,217,56,59,577,200,826,36,71,2042
1/1/13,187,56,44,306,155,559,22,54,1383
2/1/13,210,44,29,183,215,517,12,29,1239
3/1/13,170,39,37,218,185,509,12,45,1215
4/1/13,147,30,18,189,180,467,16,45,1092
5/1/13,174,35,26,200,175,501,19,61,1191
6/1/13,157,31,31,224,145,575,24,49,1236
7/1/13,184,44,29,200,170,492,16,76,1211
8/1/13,170,27,38,200,180,525,22,67,1229
9/1/13,164,44,19,165,210,534,17,77,1230
10/1/13,174,26,26,124,225,484,12,79,1150
11/1/13,147,23,23,118,205,400,11,89,1016
12/1/13,117,23,22,118,230,509,10,98,1127
1/1/14,167,29,26,159,245,517,15,117,1275
2/1/14,120,27,15,153,240,484,7,86,1132
3/1/14,114,30,23,118,215,484,23,106,1113
4/1/14,140,27,25,112,285,509,8,109,1215
5/1/14,110,25,22,130,250,492,12,98,1139
6/1/14,140,25,29,124,205,534,9,109,1175
7/1/14,127,37,33,142,245,492,6,99,1181
8/1/14,164,28,20,106,250,501,14,129,1212
9/1/14,127,26,16,130,265,501,10,107,1182
10/1/14,154,36,27,124,270,501,12,115,1239
11/1/14,117,24,17,112,265,476,4,95,1110
12/1/14,104,17,17,124,300,525,5,122,1214
1/1/15,127,23,17,112,295,501,11,86,1172
2/1/15,124,12,12,100,270,492,7,86,1103
3/1/15,110,13,14,83,255,459,10,48,992
4/1/15,104,22,15,95,285,459,6,57,1043
5/1/15,114,16,11,71,250,409,7,57,935
6/1/15,134,10,11,83,245,484,9,68,1044
7/1/15,117,11,10,95,285,542,7,71,1138
8/1/15,104,11,7,71,290,542,8,57,1090
9/1/15,97,18,7,83,285,534,12,54,1090
10/1/15,100,13,10,89,295,476,9,53,1045
11/1/15,107,12,9,83,265,525,11,58,1070
12/1/15,120,13,9,71,360,542,5,80,1200
1/1/16,114,14,10,71,330,575,8,58,1180
2/1/16,117,10,8,65,365,525,8,58,1156
3/1/16,90,13,8,53,365,584,9,57,1179
4/1/16,97,15,11,77,300,617,9,58,1184
5/1/16,100,13,14,83,350,575,8,76,1219
6/1/16,120,11,16,71,410,700,5,57,1390
7/1/16,114,25,16,77,395,717,5,65,1414
8/1/16,114,22,19,77,465,692,6,70,1465
9/1/16,107,6,12,100,470,692,10,72,1469
10/1/16,94,12,8,77,470,684,7,65,1417
11/1/16,107,9,12,95,460,750,8,61,1502
12/1/16,97,12,7,77,490,717,6,59,1465
1/1/17,90,18,10,100,500,775,5,77,1575
