date,youtube private channel,Total
1/1/11,41,41
2/1/11,52,52
3/1/11,39,39
4/1/11,28,28
5/1/11,31,31
6/1/11,51,51
7/1/11,47,47
8/1/11,40,40
9/1/11,57,57
10/1/11,44,44
11/1/11,60,60
12/1/11,75,75
1/1/12,65,65
2/1/12,70,70
3/1/12,73,73
4/1/12,63,63
5/1/12,56,56
6/1/12,70,70
7/1/12,63,63
8/1/12,73,73
9/1/12,75,75
10/1/12,59,59
11/1/12,59,59
12/1/12,78,78
1/1/13,76,76
2/1/13,82,82
3/1/13,65,65
4/1/13,63,63
5/1/13,59,59
6/1/13,77,77
7/1/13,96,96
8/1/13,100,100
9/1/13,87,87
10/1/13,76,76
11/1/13,58,58
12/1/13,74,74
1/1/14,80,80
2/1/14,92,92
3/1/14,77,77
4/1/14,83,83
5/1/14,61,61
6/1/14,49,49
7/1/14,74,74
8/1/14,70,70
9/1/14,57,57
10/1/14,56,56
11/1/14,61,61
12/1/14,75,75
1/1/15,63,63
2/1/15,73,73
3/1/15,67,67
4/1/15,56,56
5/1/15,64,64
6/1/15,56,56
7/1/15,55,55
8/1/15,68,68
9/1/15,57,57
10/1/15,57,57
11/1/15,58,58
12/1/15,66,66
1/1/16,66,66
2/1/16,52,52
3/1/16,69,69
4/1/16,61,61
5/1/16,62,62
6/1/16,57,57
7/1/16,64,64
8/1/16,66,66
9/1/16,65,65
10/1/16,65,65
11/1/16,60,60
12/1/16,57,57
1/1/17,80,80
