date,how to search in private mode,most private browser
2011-01-01,0,38
2011-02-01,20,40
2011-03-01,0,24
2011-04-01,0,0
2011-05-01,0,45
2011-06-01,0,27
2011-07-01,0,36
2011-08-01,0,23
2011-09-01,0,34
2011-10-01,0,32
2011-11-01,0,16
2011-12-01,0,24
2012-01-01,15,48
2012-02-01,0,70
2012-03-01,14,71
2012-04-01,15,44
2012-05-01,0,49
2012-06-01,0,29
2012-07-01,14,28
2012-08-01,0,47
2012-09-01,14,32
2012-10-01,13,29
2012-11-01,13,0
2012-12-01,13,38
2013-01-01,0,23
2013-02-01,0,63
2013-03-01,0,45
2013-04-01,0,50
2013-05-01,11,34
2013-06-01,0,50
2013-07-01,11,45
2013-08-01,11,49
2013-09-01,15,33
2013-10-01,10,35
2013-11-01,21,49
2013-12-01,0,61
2014-01-01,15,43
2014-02-01,0,26
2014-03-01,15,42
2014-04-01,10,44
2014-05-01,20,61
2014-06-01,19,49
2014-07-01,18,85
2014-08-01,11,63
2014-09-01,32,64
2014-10-01,15,90
2014-11-01,14,58
2014-12-01,24,81
2015-01-01,9,57
2015-02-01,14,55
2015-03-01,12,56
2015-04-01,19,51
2015-05-01,28,56
2015-06-01,19,51
2015-07-01,9,72
2015-08-01,9,68
2015-09-01,9,48
2015-10-01,18,61
2015-11-01,24,100
2015-12-01,54,57
2016-01-01,42,76
2016-02-01,34,59
2016-03-01,29,55
2016-04-01,46,66
2016-05-01,24,58
2016-06-01,41,79
2016-07-01,38,71
2016-08-01,35,62
2016-09-01,32,59
2016-10-01,30,68
2016-11-01,44,67
2016-12-01,36,67
2017-01-01,31,75
