date,anonymous web surfing,how to browse the internet anonymously,most private browser,search anonymously
2011-01-01,667,0,38,118
2011-02-01,514,20,40,126
2011-03-01,507,18,24,90
2011-04-01,487,19,0,65
2011-05-01,440,18,45,108
2011-06-01,447,19,27,118
2011-07-01,494,18,36,98
2011-08-01,467,17,23,65
2011-09-01,460,22,34,118
2011-10-01,414,16,32,90
2011-11-01,480,16,16,59
2011-12-01,400,16,24,121
2012-01-01,400,24,48,126
2012-02-01,387,20,70,165
2012-03-01,440,29,71,113
2012-04-01,414,15,44,108
2012-05-01,407,28,49,75
2012-06-01,380,29,29,134
2012-07-01,414,49,28,152
2012-08-01,387,14,47,70
2012-09-01,420,32,32,93
2012-10-01,374,25,29,147
2012-11-01,287,25,0,116
2012-12-01,300,26,38,103
2013-01-01,247,12,23,139
2013-02-01,240,13,63,154
2013-03-01,234,17,45,149
2013-04-01,227,19,50,165
2013-05-01,260,22,34,98
2013-06-01,274,19,50,134
2013-07-01,220,17,45,193
2013-08-01,234,30,49,203
2013-09-01,214,22,33,142
2013-10-01,180,14,35,216
2013-11-01,240,27,49,203
2013-12-01,194,11,61,144
2014-01-01,187,17,43,170
2014-02-01,187,26,26,190
2014-03-01,187,26,42,170
2014-04-01,214,17,44,206
2014-05-01,180,31,61,124
2014-06-01,194,34,49,162
2014-07-01,214,22,85,159
2014-08-01,160,22,63,185
2014-09-01,187,11,64,254
2014-10-01,167,20,90,229
2014-11-01,100,10,58,221
2014-12-01,107,15,81,226
2015-01-01,127,19,57,257
2015-02-01,160,27,55,231
2015-03-01,100,9,56,201
2015-04-01,100,13,51,190
2015-05-01,160,19,56,193
2015-06-01,120,9,51,203
2015-07-01,87,16,72,211
2015-08-01,120,18,68,208
2015-09-01,87,23,48,193
2015-10-01,134,17,61,201
2015-11-01,127,9,100,183
2015-12-01,100,9,57,142
2016-01-01,120,8,76,183
2016-02-01,67,13,59,124
2016-03-01,60,16,55,198
2016-04-01,54,8,66,172
2016-05-01,67,16,58,154
2016-06-01,80,0,79,203
2016-07-01,100,12,71,183
2016-08-01,87,19,62,175
2016-09-01,100,13,59,177
2016-10-01,74,30,68,190
2016-11-01,54,15,67,167
2016-12-01,60,8,67,159
2017-01-01,67,24,75,236
