date,how to delete a youtube account,how to delete a youtube channel 2016,how to delete youtube account 2016,how to delete youtube account on android,how to delete youtube account on ipad,how to delete youtube account on iphone,how to delete youtube account on phone,how to delete youtube app,how to delete youtube channel on phone,how to delete youtube channel,how to delete youtube video,remove youtube from iphone,Row Total
1/1/11,41,0,0,0,0,0,0,8,0,11,77,9,146
2/1/11,34,0,0,0,1,1,1,8,0,9,81,6,141
3/1/11,43,0,0,1,1,2,2,6,0,11,110,6,182
4/1/11,42,0,0,1,1,2,1,6,0,8,99,6,166
5/1/11,40,0,0,2,1,1,1,7,0,14,97,4,167
6/1/11,56,0,0,2,2,2,1,7,0,13,165,7,255
7/1/11,65,0,0,2,1,2,1,9,0,15,169,10,274
8/1/11,56,0,0,2,1,2,1,12,0,16,177,9,276
9/1/11,66,0,0,2,1,1,1,7,0,15,132,9,234
10/1/11,54,0,0,2,1,2,2,6,0,22,134,16,239
11/1/11,64,0,0,1,1,2,1,11,0,20,163,8,271
12/1/11,76,0,0,1,1,1,1,16,0,24,197,15,332
1/1/12,62,0,0,2,3,4,1,11,0,21,173,11,288
2/1/12,54,0,0,2,1,2,1,10,1,18,146,11,246
3/1/12,56,0,0,1,1,3,1,10,1,20,144,11,248
4/1/12,72,0,0,1,1,3,1,13,1,27,140,13,272
5/1/12,69,0,0,1,2,1,3,11,1,24,126,8,246
6/1/12,90,0,0,3,2,2,2,11,1,23,126,12,272
7/1/12,95,0,0,2,2,1,1,14,1,26,155,11,308
8/1/12,91,0,0,2,3,2,1,14,1,27,153,15,309
9/1/12,69,0,0,2,2,3,2,39,1,26,128,16,288
10/1/12,56,0,0,2,1,1,1,37,1,24,142,16,281
11/1/12,70,0,0,1,3,3,2,30,1,27,130,9,276
12/1/12,76,0,0,2,2,3,2,39,2,30,140,14,310
1/1/13,82,0,0,2,2,3,1,35,2,30,136,10,303
2/1/13,88,0,0,2,4,5,3,32,2,27,136,13,312
3/1/13,81,0,0,2,2,4,3,27,1,28,132,11,291
4/1/13,76,0,0,2,4,3,2,26,1,33,132,13,292
5/1/13,77,0,0,5,4,3,3,28,1,36,134,9,300
6/1/13,83,0,0,3,3,3,3,30,2,42,144,9,322
7/1/13,100,0,0,3,4,5,3,33,2,52,142,11,355
8/1/13,96,0,0,4,3,6,5,38,1,64,104,9,330
9/1/13,75,0,0,2,3,3,3,35,1,66,99,14,301
10/1/13,63,0,0,2,2,3,2,23,1,53,87,15,251
11/1/13,66,0,0,2,2,2,2,26,1,50,89,11,251
12/1/13,69,0,0,2,4,3,2,34,1,54,99,14,282
1/1/14,80,0,0,2,2,2,2,39,1,70,97,14,309
2/1/14,66,0,0,2,2,2,2,24,1,59,108,13,279
3/1/14,69,0,0,1,3,3,2,28,1,73,93,12,285
4/1/14,67,0,0,3,1,3,2,29,1,65,97,13,281
5/1/14,63,0,0,2,2,3,2,29,1,61,95,10,268
6/1/14,65,0,0,2,3,3,2,30,1,58,99,11,274
7/1/14,78,0,0,2,4,4,3,33,1,88,122,15,350
8/1/14,80,0,0,4,5,6,4,39,1,82,124,19,364
9/1/14,56,0,0,4,4,4,2,32,1,64,108,19,294
10/1/14,54,0,0,1,2,3,1,32,1,61,114,16,285
11/1/14,58,0,0,2,2,4,3,28,1,55,114,21,288
12/1/14,58,0,0,2,3,2,2,30,1,64,128,20,310
1/1/15,63,0,1,2,3,4,2,30,2,65,124,18,314
2/1/15,47,0,1,2,2,3,2,22,1,64,114,13,271
3/1/15,60,0,1,3,1,4,2,25,1,64,114,17,292
4/1/15,51,0,1,1,2,1,2,22,1,61,116,18,276
5/1/15,58,0,1,3,2,4,3,24,1,57,124,20,297
6/1/15,63,0,1,3,2,3,2,26,1,71,116,16,304
7/1/15,54,0,1,4,2,7,4,34,1,74,126,21,328
8/1/15,59,0,1,2,2,4,2,32,1,77,118,17,315
9/1/15,40,0,1,2,2,2,3,27,2,63,114,18,274
10/1/15,42,1,1,3,2,4,3,29,2,69,108,15,279
11/1/15,45,1,1,2,1,2,3,28,2,60,106,15,266
12/1/15,51,1,1,2,2,4,2,33,1,74,122,13,306
1/1/16,58,1,3,3,2,3,5,30,1,83,114,14,317
2/1/16,47,1,3,2,2,2,3,28,2,60,104,10,264
3/1/16,46,1,3,2,4,2,3,20,1,60,102,13,257
4/1/16,40,2,5,2,2,3,3,22,1,57,99,10,246
5/1/16,46,2,6,2,1,3,4,21,1,63,108,11,268
6/1/16,48,2,6,3,2,4,5,22,2,77,102,13,286
7/1/16,59,3,5,2,2,3,5,31,1,77,106,17,311
8/1/16,45,2,7,3,1,3,6,29,2,72,114,14,298
9/1/16,42,2,4,2,1,4,3,21,3,70,100,17,269
10/1/16,42,3,4,3,1,2,5,26,2,72,95,18,273
11/1/16,40,3,4,2,2,4,5,30,1,73,99,14,277
12/1/16,52,2,5,6,2,3,6,30,3,84,110,17,320
1/1/17,48,0,4,4,2,6,5,25,5,103,120,16,338
