date,create new google account,delete google account,delete my gmail account now,delete my gmail account,gmail account preferences,google account change password,google accounts,how to delete a gmail account 2016,how to delete gmail account from iphone,how to delete gmail account from phone,how to delete gmail account in android phone,how to delete gmail email,how to delete gmail,how to delete google account on android,how to remove google account from android phone,how to remove google account from computer,my gmail account,remove google account from chrome,Row Total
1/1/11,5,25,0,7,0,2,117,0,0,0,0,5,42,0,0,0,50,0,253
2/1/11,5,23,0,7,0,2,119,0,0,0,0,5,43,0,0,0,53,0,257
3/1/11,6,24,0,7,0,2,113,0,0,0,0,5,42,0,0,0,51,0,250
4/1/11,5,23,0,8,0,2,117,0,0,0,0,6,45,0,0,0,54,0,260
5/1/11,7,28,0,8,0,2,114,0,0,0,0,6,44,0,0,0,57,0,266
6/1/11,8,32,0,10,0,2,113,0,0,0,0,6,51,0,0,0,71,0,293
7/1/11,12,44,0,10,0,3,131,0,0,0,0,7,59,0,0,0,82,0,348
8/1/11,11,36,0,10,0,3,111,0,0,0,0,6,56,0,0,0,79,0,312
9/1/11,11,45,0,10,0,3,110,0,0,0,0,7,54,0,0,0,70,0,310
10/1/11,10,43,0,9,0,3,113,0,0,0,0,7,55,0,0,0,68,0,308
11/1/11,10,40,0,10,0,3,107,0,0,0,0,6,54,0,0,0,68,0,298
12/1/11,10,40,0,11,0,3,104,0,0,0,0,7,59,1,0,0,76,0,311
1/1/12,10,43,0,10,0,3,108,0,0,0,0,7,60,0,0,0,77,0,318
2/1/12,9,39,0,9,0,4,99,0,0,1,0,6,50,0,0,0,67,0,284
3/1/12,9,35,0,9,0,2,100,0,0,0,0,7,50,0,0,0,65,0,277
4/1/12,9,34,0,9,0,3,97,0,0,1,0,7,52,0,0,0,67,0,279
5/1/12,11,34,0,8,0,4,96,0,0,1,0,7,51,1,0,0,64,0,277
6/1/12,11,33,0,10,0,4,99,0,0,1,0,8,55,1,1,0,70,0,293
7/1/12,12,39,0,9,0,4,107,0,0,1,0,9,61,1,0,0,76,0,319
8/1/12,12,38,0,10,0,5,110,0,0,1,0,8,65,1,0,0,84,0,334
9/1/12,14,37,0,9,0,4,107,0,0,1,0,8,63,1,0,0,76,0,320
10/1/12,10,37,0,9,0,5,102,0,0,1,0,7,57,1,1,0,76,0,306
11/1/12,11,36,0,9,0,4,94,0,0,0,0,7,58,1,1,0,73,0,294
12/1/12,14,44,0,10,0,5,105,0,0,1,0,8,66,1,0,0,76,0,330
1/1/13,13,43,0,10,0,4,107,0,0,1,0,8,66,1,0,0,79,0,332
2/1/13,13,45,0,11,0,5,110,0,1,1,0,9,69,1,0,0,82,0,347
3/1/13,14,44,0,10,0,4,108,0,0,1,0,8,67,1,0,0,82,0,339
4/1/13,14,44,0,12,0,4,111,0,0,1,0,9,71,0,1,0,82,0,349
