date,government monitoring social media index trend
1/1/11,48
2/1/11,67
3/1/11,75
4/1/11,84
5/1/11,75
6/1/11,77
7/1/11,69
8/1/11,84
9/1/11,69
10/1/11,98
11/1/11,86
12/1/11,81
1/1/12,84
2/1/12,84
3/1/12,80
4/1/12,89
5/1/12,75
6/1/12,79
7/1/12,81
8/1/12,67
9/1/12,82
10/1/12,74
11/1/12,66
12/1/12,60
1/1/13,70
2/1/13,68
3/1/13,73
4/1/13,70
5/1/13,68
6/1/13,93
7/1/13,66
8/1/13,80
9/1/13,73
10/1/13,86
11/1/13,91
12/1/13,86
1/1/14,81
2/1/14,82
3/1/14,87
4/1/14,94
5/1/14,79
6/1/14,75
7/1/14,58
8/1/14,65
9/1/14,60
10/1/14,75
11/1/14,74
12/1/14,67
1/1/15,59
2/1/15,75
3/1/15,72
4/1/15,81
5/1/15,72
6/1/15,63
7/1/15,61
8/1/15,69
9/1/15,62
10/1/15,65
11/1/15,79
12/1/15,65
1/1/16,67
2/1/16,77
3/1/16,66
4/1/16,78
5/1/16,70
6/1/16,58
7/1/16,57
8/1/16,67
9/1/16,66
10/1/16,80
11/1/16,100
12/1/16,62
1/1/17,64
