date,web anonimity index trends
1/1/11,40
2/1/11,42
3/1/11,45
4/1/11,36
5/1/11,40
6/1/11,43
7/1/11,42
8/1/11,42
9/1/11,49
10/1/11,47
11/1/11,48
12/1/11,45
1/1/12,55
2/1/12,56
3/1/12,56
4/1/12,50
5/1/12,52
6/1/12,50
7/1/12,56
8/1/12,58
9/1/12,55
10/1/12,57
11/1/12,50
12/1/12,53
1/1/13,54
2/1/13,57
3/1/13,51
4/1/13,56
5/1/13,58
6/1/13,60
7/1/13,59
8/1/13,62
9/1/13,66
10/1/13,61
11/1/13,65
12/1/13,74
1/1/14,68
2/1/14,73
3/1/14,69
4/1/14,67
5/1/14,67
6/1/14,74
7/1/14,83
8/1/14,91
9/1/14,90
10/1/14,87
11/1/14,86
12/1/14,84
1/1/15,85
2/1/15,83
3/1/15,80
4/1/15,85
5/1/15,80
6/1/15,77
7/1/15,83
8/1/15,95
9/1/15,92
10/1/15,93
11/1/15,91
12/1/15,93
1/1/16,92
2/1/16,89
3/1/16,89
4/1/16,89
5/1/16,83
6/1/16,81
7/1/16,91
8/1/16,100
9/1/16,95
10/1/16,94
11/1/16,97
12/1/16,97
1/1/17,98
,
,
,
,
,
